Me identifico,Tengo,Argentina,Años de experiencia,Años en el puesto actual,¿Tenés gente a cargo?,Nivel de estudios alcanzado,Estado,Carrera,Realizaste cursos de especialización,Trabajo de,Tecnologías que utilizás,Tecnologías que utilizás,Tecnologías que utilizás,Automation o funcional?,Tecnologías que utilizás,Tecnologías que utilizás,¿Tenés guardias?,Cuánto cobrás por guardia (en tu moneda local),"¿Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual (en tu moneda local),¿Bruto o neto?,¿Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto a enero 2018,Recibís algún tipo de bono,A qué está atado el bono,¿Tuviste ajustes por inflación lo que va del año?,¿De qué % fue el ajuste?,Cantidad de empleados,¿Cambiaste de empresa en los últimos 6 meses?,¿Cuál fue el principal motivo de cambio?,Beneficios extra
Hombre,24 - 26,Mendoza,Menos de un año,Menos de un año,0,Terciario,En curso,Tecnicatura Superior en Análisis y Programador en Sistemas,No,Developer,,"CSS, HTML, Javascript, NodeJS",,,,,No,0,Neto,Full-Time,12000,Neto,1,1,No,No recibo bono,No,0,51-100,No,No cambié de empresa,Ninguna de las anteriores
Hombre,21 - 23,Ciudad Autónoma de Buenos Aires,Menos de un año,Menos de un año,0,Terciario,En curso,Análisis de sistemas,"Sí, de forma particular",Soporte técnico nivel 1,,,,,,,,,,Tercerizado (trabajo a través de consultora o agencia),12500,Neto,1,2,No,No recibo bono,No,0,501-1000,No,No cambié de empresa,Ninguna de las anteriores
Hombre,21 - 23,Ciudad Autónoma de Buenos Aires,Menos de un año,Menos de un año,0,Universitario,En curso,Lic en Ciencias de la Computación,"Sí, los pagó un empleador",Developer,,"Java, Javascript",,,,,No,0,Porcentaje de mi sueldo,Part-Time,13000,Bruto,2,2,No,No recibo bono,Uno,10,501-1000,No,No cambié de empresa,"Clases de idiomas, Comidas pagas/subvencionadas, Descuentos en gimnasios, Horarios flexibles, Laptop, Playroom, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,18 - 20,Ciudad Autónoma de Buenos Aires,1,1,0,Universitario,En curso,Licenciatura en Cs de la Computacion,"Sí, de forma particular",Developer,,".NET, C#, CSS, HTML, Javascript, jQuery, NodeJS, VB *",,,,,No,0,Porcentaje de mi sueldo,Part-Time,13000,Neto,2,1,No,No recibo bono,Dos,10,11-50,No,No cambié de empresa,"Aumento por inflación, WFH (Trabajar desde casa)"
Hombre,34 - 36,Corrientes,4,3,0,Universitario,Completado,Lic en sistemas de información,"Sí, de forma particular",SysAdmin / DevOps,"*BSD, Linux, Windows, Azure, Docker / Containers, Proxmox","CSS, HTML, PHP, Python, Bash",,,,,"Sí, pasiva",0,Bruto,Part-Time,13000,Neto,1,1,No,No recibo bono,No,0,5001-10000,No,No cambié de empresa,Licencia de paternidad/maternidad extendida
Mujer,37 - 40,GBA,2,2,0,Secundario,Completado,,"Sí, de forma particular",SysAdmin / DevOps,"Linux, Windows",ActionScript,,,,,No,0,Bruto,Part-Time,13000,Neto,1,1,No,No recibo bono,Más de dos,30,501-1000,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,Mendoza,4,Menos de un año,0,Universitario,En curso,Tecnico en redes de datos y telecomunicacion,"Sí, de forma particular",HelpDesk,,,,,,,"Sí, pasiva",0,Neto,Part-Time,13000,Neto,1,1,No,No recibo bono,No,0,51-100,No,No cambié de empresa,Ninguna de las anteriores
Mujer,27 - 30,Misiones,8,6,0,Universitario,En curso,Lic en comunicacion social,"Sí, los pagó un empleador",Networking,,,,,,,No,0,Porcentaje de mi sueldo,Part-Time,13000,Neto,1,1,No,No recibo bono,Uno,15,11-50,No,No cambié de empresa,"Clases de idiomas, Guardería, Horarios flexibles, Licencia de paternidad/maternidad extendida"
Hombre,27 - 30,Santa Fe,5,4,0,Universitario,En curso,Ingeniería Informática,"Sí, de forma particular","Todo, somos 3 para toda la infraestructura",,,,,,,,,,Full-Time,13150,Bruto,2,1,No,No recibo bono,Uno,18,201-500,No,No cambié de empresa,"Aumento por inflación, Viáticos, Horario 7-14, lo que te deja TODA la tarde libre y permite terminar estudios. También te dan días para hacer capacitaciones (pero no te las pagan)."
Hombre,24 - 26,Salta,10+,10+,0,Secundario,Incompleto,,No,Lavacopas,,,,,,,,,,Full-Time,13280,Neto,2,1,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Aumento por inflación
