Me identifico,Tengo,Argentina,Años de experiencia,Años en el puesto actual,¿Tenés gente a cargo?,Nivel de estudios alcanzado,Estado,Carrera,Realizaste cursos de especialización,Trabajo de,Tecnologías que utilizás,Tecnologías que utilizás,Tecnologías que utilizás,Automation o funcional?,Tecnologías que utilizás,Tecnologías que utilizás,¿Tenés guardias?,Cuánto cobrás por guardia (en tu moneda local),"¿Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual (en tu moneda local),¿Bruto o neto?,¿Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto a enero 2018,Recibís algún tipo de bono,A qué está atado el bono,¿Tuviste ajustes por inflación lo que va del año?,¿De qué % fue el ajuste?,Cantidad de empleados,¿Cambiaste de empresa en los últimos 6 meses?,¿Cuál fue el principal motivo de cambio?,Beneficios extra
Hombre,27 - 30,GBA,3,3,0,Universitario,Completado,Ing en Sistemas de Información,"Sí, los pagó un empleador",SysAdmin / DevOps,Linux,PHP,,,,,No,0,Bruto,Full-Time,30000,Neto,3,2,No,No recibo bono,No,0,2001-5000,No,No cambié de empresa,"Comidas pagas/subvencionadas, Guardería, Horarios flexibles"
Hombre,27 - 30,GBA,10+,7,3,Universitario,En curso,Ingenieria Electronica,"Sí, de forma particular",Developer,,"Assembler, C, C++, CSS, Go, HTML, Java, Javascript, PHP, SQL",,,,,No,0,Porcentaje de mi sueldo,Freelance,30000,Bruto,2,2,No,No recibo bono,Dos,30,10001+,No,No cambié de empresa,WFH (Trabajar desde casa)
Hombre,24 - 26,GBA,7,7,0,Universitario,En curso,Ingeniería Informática,"Sí, de forma particular, Sí, los pagó un empleador",SysAdmin / DevOps,"Windows, VMWare",PowerShell,,,,,No,0,Bruto,Full-Time,30000,Neto,2,2,Menos de un sueldo,Mix de las anteriores,Uno,10,2001-5000,No,No cambié de empresa,"Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Descuentos en gimnasios, Laptop, Sueldo divido en dos pagos por mes, WFH (Trabajar desde casa)"
Hombre,24 - 26,La Rioja,4,1,0,Universitario,Completado,Ing en sistemas ,"Sí, de forma particular",Networking,,,,,,,"Sí, pasiva",0,Neto,Full-Time,30000,Bruto,2,1,Menos de un sueldo,Bono bancario ,Uno,15,51-100,No,Mejores beneficios,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Comidas pagas/subvencionadas"
Hombre,31 - 33,Mendoza,8,8,0,Universitario,Incompleto,,"Sí, de forma particular",SysAdmin / DevOps,"Linux, Windows","PHP, Python",,,,,No,0,Neto,Full-Time,30000,Bruto,1,1,No,No recibo bono,Uno,10,11-50,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,Mendoza,8,3,2,Terciario,Completado,Redes y telecomunicaciones ,"Sí, de forma particular, Sí, los pagó un empleador",Networking,,,,,,,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,30000,Neto,3,2,Un sueldo,Performance individual,No,0,501-1000,No,No cambié de empresa,"Abono de celular y/o Internet, Capacitaciones y/o cursos"
Hombre,37 - 40,Mendoza,10+,10+,0,Universitario,En curso,Redes y telecomunicaciones,No,HelpDesk,,,,,,,"Sí, activa",1800,Neto,Part-Time,30000,Bruto,1,1,Un sueldo,Performance individual,No,0,10001+,No,No cambié de empresa,"Horarios flexibles, Ninguna de las anteriores"
Hombre,24 - 26,Mendoza,1,1,0,Universitario,En curso,Ingenieria en Sistemas de la Informacion,"Sí, de forma particular",QA / Tester,,,,Mix,"Selenium, Python",,,,,Full-Time,30000,Bruto,3,2,No,No recibo bono,Uno,10,11-50,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos, Clases de idiomas, Descuentos en gimnasios, Viáticos, WFH (Trabajar desde casa)"
Hombre,31 - 33,Misiones,8,6,1,Terciario,Completado,Analista de sistemas,"Sí, de forma particular",Developer,,"CSS, HTML, Java, Javascript, jQuery, PHP, VB *",,,,,No,0,Bruto,Freelance,30000,Bruto,2,2,No,No recibo bono,No,0,1-10,Sí,Salario,WFH (Trabajar desde casa)
Hombre,24 - 26,Provincia de Buenos Aires,3,3,0,Universitario,En curso,Ingeniería informática,No,Developer,,"HTML, Javascript, jQuery, Perl, Python",,,,,No,0,Porcentaje de mi sueldo,Freelance,30000,Neto,3,2,No,No recibo bono,Uno,10,1-10,No,No cambié de empresa,"Horarios flexibles, WFH (Trabajar desde casa)"
Hombre,37 - 40,Provincia de Buenos Aires,8,2,5,Universitario,Completado,Ing. Sistemas,No,Developer,,ABAP,,,,,No,30000,Bruto,Full-Time,30000,Neto,2,1,No,No recibo bono,No,5,5001-10000,No,No cambié de empresa,"Clases de idiomas, Descuentos en gimnasios"
Hombre,24 - 26,Provincia de Buenos Aires,2,1,0,Universitario,En curso,Ingeniería en Sistemas ,"Sí, de forma particular, Sí, los pagó un empleador",PM,,,,,,,,,,Full-Time,30000,Bruto,3,2,No,No recibo bono,Uno,15,201-500,No,No cambié de empresa,"Capacitaciones y/o cursos, Horarios flexibles"
Hombre,24 - 26,Provincia de Buenos Aires,1,1,0,Universitario,En curso,Diseño en Comunicación Visual,"Sí, de forma particular",Designer,,,,,,,,,,Freelance,30000,Neto,2,1,No,No recibo bono,No,0,1-10,No,No cambié de empresa,"Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Mujer,37 - 40,Provincia de Buenos Aires,10+,10+,0,Posgrado,Completado,Ingeniería en Sistemas de información- Magister en Redes de Datoa,"Sí, de forma particular",Networking,,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,30000,Neto,1,1,No,Aguinaldo,No,0,5001-10000,No,No cambié de empresa,Ninguna de las anteriores
Hombre,34 - 36,San Luis,7,5,0,Terciario,Completado,desarrollador de software,"Sí, de forma particular",SysAdmin / DevOps,Windows,".NET, C#, HTML, Java, Javascript, jQuery, PHP, Swift",,,,,"Sí, pasiva",0,Bruto,Full-Time,30000,Neto,2,1,No,No recibo bono,No,0,51-100,No,No cambié de empresa,Abono de celular y/o Internet
Hombre,41 - 45,Santa Fe,10+,10+,0,Universitario,Incompleto,Ingenieria electronica,"Sí, de forma particular",SysAdmin / DevOps,"Linux, Windows, VMWare",".NET, HTML",,,,,"Sí, pasiva",3,Porcentaje de mi sueldo,Full-Time,30000,Neto,2,1,Menos de un sueldo,Performance de la compañía,No,0,2001-5000,No,No cambié de empresa,Horarios flexibles
Hombre,37 - 40,Santa Fe,10+,Menos de un año,0,Terciario,Completado,Analista de sistemas,No,Soporte,,,,,,,,,,Full-Time,30000,Neto,3,2,Menos de un sueldo,Mix de las anteriores,Dos,15,501-1000,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos"
Hombre,21 - 23,Tucumán,1,1,0,Terciario,Incompleto,tecnico superior en programacion,"Sí, de forma particular",Developer,,"CSS, HTML, Javascript",,,,,No,0,Porcentaje de mi sueldo,Full-Time,30000,Bruto,2,1,No,No recibo bono,No,0,5001-10000,No,No cambié de empresa,"Capacitaciones y/o cursos, Clases de idiomas, Descuentos en gimnasios, WFH (Trabajar desde casa)"
Hombre,21 - 23,Ciudad Autónoma de Buenos Aires,3,1,0,Universitario,Incompleto,Ingenieria en Informatica,No,Developer,,".NET, C#, CSS, HTML, Javascript, jQuery",,,,,No,0,Porcentaje de mi sueldo,Full-Time,30100,Neto,3,2,Menos de un sueldo,Performance de la compañía,Uno,10,101-200,No,No cambié de empresa,"Aumento por inflación, Horarios flexibles"
Hombre,27 - 30,Santa Fe,6,2,0,Universitario,En curso,Ingeniería en Sistemas de Información,"Sí, de forma particular, Sí, los pagó un empleador",Developer,,"Genexus 9,Genexus 3 u15 y SQL server",,,,,"Sí, pasiva",2700,Bruto,Full-Time,30273,Neto,3,2,Menos de un sueldo,Mix de las anteriores,Dos,25,51-100,No,No cambié de empresa,"Abono de celular y/o Internet, Bonos por desempeño, Clases de idiomas, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Laptop, WFH (Trabajar desde casa)"
Hombre,27 - 30,Río Negro,8,1,0,Universitario,Completado,Desarrollo Web,"Sí, de forma particular",Developer,,"CSS, HTML, Javascript, jQuery, PHP",,,,,No,0,Porcentaje de mi sueldo,Full-Time,30682.46,Bruto,2,3,Menos de un sueldo,Convenio de partiarias,Más de dos,9.66,501-1000,No,Mejores beneficios,"Capacitaciones y/o cursos, Horarios flexibles, Licencia de paternidad/maternidad extendida, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos"
Hombre,41 - 45,Ciudad Autónoma de Buenos Aires,10+,2,0,Secundario,Completado,,"Sí, de forma particular",Networking,,,,,,,No,0,Bruto,Full-Time,30984.9,Bruto,2,2,No,No recibo bono,Uno,12,51-100,No,No cambié de empresa,Aumento por inflación
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,3,2,0,Universitario,Completado,Lic en ciencias de la Computacion,No,Infosec,,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,31000,Neto,3,3,No,No recibo bono,Dos,10,2001-5000,No,No cambié de empresa,"Aumento por inflación, WFH (Trabajar desde casa)"
Hombre,21 - 23,Ciudad Autónoma de Buenos Aires,2,1,0,Terciario,Completado,Tecnicatura Superior en Programación,"Sí, de forma particular",Developer,,".NET, C#, CSS, HTML, Javascript",,,,,No,0,Porcentaje de mi sueldo,Full-Time,31000,Neto,3,3,No,No recibo bono,Dos,25,10001+,No,No cambié de empresa,"Aumento por inflación, Descuentos en gimnasios"
Mujer,27 - 30,Ciudad Autónoma de Buenos Aires,7,4,0,Universitario,En curso,Ingenieria en Informatica,No,Developer,,Cobol Mainframe,,,,,"Sí, pasiva",0,Neto,Full-Time,31000,Bruto,2,2,De uno a tres sueldos,Performance grupal,Más de dos,19,2001-5000,No,No cambié de empresa,"Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Descuentos en gimnasios, Licencia de paternidad/maternidad extendida, Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,6,2,0,Universitario,En curso,Ingenieria en Sistemas de Informacion,No,DBA,,,,,,Oracle,No,0,Porcentaje de mi sueldo,Full-Time,31000,Bruto,2,2,Un sueldo,Performance de la compañía,Dos,20,5001-10000,No,No cambié de empresa,"Capacitaciones y/o cursos, Descuentos en gimnasios, Horarios flexibles, Snacks, golosinas, bebidas"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,10+,1,0,Terciario,Incompleto,,"Sí, los pagó un empleador",SysAdmin / DevOps,"*BSD, Linux, Solaris, Windows, OpenStack, VMWare",Python,,,,,No,0,Bruto,Tercerizado (trabajo a través de consultora o agencia),31000,Neto,1,1,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,3,3,1,Universitario,En curso,Ing Electronica,No,Architect,,,,,,,,,,Full-Time,31000,Neto,2,2,No,No recibo bono,Uno,14,1-10,No,No cambié de empresa,"Aumento por inflación, Horarios flexibles, Stock options / Shares, WFH (Trabajar desde casa)"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,10+,3,0,Terciario,Completado,Programador de Videojuegos,"Sí, de forma particular",Developer,,"CSS, HTML, Javascript, NodeJS, Docker",,,,,No,0,Neto,Full-Time,31000,Neto,2,2,No,No recibo bono,Dos,24,51-100,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Comidas pagas/subvencionadas, Horarios flexibles, Laptop, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)"
Mujer,24 - 26,Ciudad Autónoma de Buenos Aires,7,2,0,Universitario,En curso,,"Sí, los pagó un empleador",QA / Tester,,,,Automation,"HP LoadRunner, Oats",,,,,Full-Time,31000,Neto,3,2,No,No recibo bono,Uno,10,10001+,No,No cambié de empresa,Ninguna de las anteriores
Hombre,21 - 23,Ciudad Autónoma de Buenos Aires,3,2,0,Universitario,Completado,,No,Developer,,SQL Server,,,,,No,0,Bruto,Tercerizado (trabajo a través de consultora o agencia),31000,Bruto,3,3,No,No recibo bono,No,0,11-50,Sí,Desafíos profesionales,Ninguna de las anteriores
Hombre,27 - 30,Córdoba,5,4,3,Terciario,Incompleto,Analista en Sistemas,No,Architect,,,,,,,,,,Full-Time,31000,Neto,3,3,No,No recibo bono,No,0,11-50,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos, Comidas pagas/subvencionadas, Viajes al exterior, WFH (Trabajar desde casa)"
Hombre,27 - 30,GBA,2,Menos de un año,0,Terciario,En curso,tecnicatura superior en programacion,No,analista funcional,,,,,,,,,,Full-Time,31000,Neto,3,3,No,Performance individual,Uno,12,2001-5000,Sí,Desafíos profesionales,"Bonos por desempeño, Comidas pagas/subvencionadas, Descuentos en gimnasios, Horarios flexibles, Snacks, golosinas, bebidas"
Hombre,34 - 36,GBA,6,6,0,Terciario,Incompleto,programacion,"Sí, de forma particular, Sí, los pagó un empleador",Storage / Backup,,,,,,,No,0,Bruto,Full-Time,31000,Neto,2,1,Menos de un sueldo,lo dispone arbitrariamente la empresa,No,0,501-1000,No,No cambié de empresa,"Capacitaciones y/o cursos, Snacks, golosinas, bebidas"
Hombre,27 - 30,Mendoza,4,3,0,Universitario,Completado,Lic. en Informática y Desarrollo de software,"Sí, de forma particular",Developer,,"CSS, HTML, Javascript, jQuery, NodeJS, PHP",,,,,No,0,Neto,Full-Time,31000,Neto,2,2,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Horarios flexibles
Hombre,27 - 30,Provincia de Buenos Aires,4,Menos de un año,3,Universitario,Completado,Ingenieria en sistemas,"Sí, de forma particular",Una mezcla de todo,,,,,,,,,,Full-Time,31000,Neto,2,2,No,No recibo bono,No,0,201-500,No,No cambié de empresa,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Comidas pagas/subvencionadas"
Hombre,34 - 36,Provincia de Buenos Aires,5,1,0,Secundario,Completado,Economia y Gestion,No,Developer,,"Go, Javascript, Python",,,,,No,0,Neto,Full-Time,31000,Neto,3,4,No,No recibo bono,Dos,9,11-50,No,No cambié de empresa,"Laptop, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,24 - 26,Provincia de Buenos Aires,10+,1,0,Terciario,Incompleto,Análsis de Sistemas,"Sí, de forma particular",Developer,,".NET, C#, CSS, HTML, Javascript, jQuery, AngularJS",,,,,No,0,Bruto,Full-Time,31000,Neto,2,3,No,No recibo bono,Uno,13,11-50,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos, Clases de idiomas, Licencia de paternidad/maternidad extendida, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,27 - 30,Santa Fe,6,3,3,Terciario,Incompleto,Ingenieria en sistemas de informacion,"Sí, de forma particular",DBA,,,,,,MSSQL,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,31000,Bruto,1,2,No,No recibo bono,Uno,5,10001+,No,No cambié de empresa,"Abono de celular y/o Internet, Comidas pagas/subvencionadas, Descuentos en gimnasios, Horarios flexibles, Laptop, Licencia de paternidad/maternidad extendida, WFH (Trabajar desde casa)"
Mujer,27 - 30,Santa Fe,5,Menos de un año,1,Universitario,Completado,Ingeniería en Sistemas,No,PM,,,,,,,,,,Full-Time,31000,Neto,2,1,Menos de un sueldo,Performance individual,Uno,25,101-200,No,No cambié de empresa,"Bonos por desempeño, Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Laptop, Licencia de paternidad/maternidad extendida, WFH (Trabajar desde casa)"
Hombre,27 - 30,Tucumán,5,1,0,Universitario,Completado,Ingeniería en Sistemas de Información ,No,PM,,,,,,,,,,Full-Time,31000,Neto,3,4,Menos de un sueldo,Performance de la compañía,Dos,35,101-200,No,No cambié de empresa,"Clases de idiomas, Comidas pagas/subvencionadas, Descuentos en gimnasios, Guardería, Horarios flexibles, Laptop, Playroom, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), Viajes al exterior, Viáticos, WFH (Trabajar desde casa)"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,8,4,0,Universitario,Incompleto,Ingenieria en sistemas,"Sí, de forma particular, Sí, los pagó un empleador",DBA,,,,,,"MySQL/MariaDB, Oracle",No,0,Bruto,Full-Time,31200,Neto,1,1,No,No recibo bono,No,0,11-50,No,No cambié de empresa,"Capacitaciones y/o cursos, Laptop, WFH (Trabajar desde casa)"
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,10+,3,0,Terciario,Completado,,"Sí, de forma particular",Networking,,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,31400,Neto,3,2,Menos de un sueldo,Mix de las anteriores,Uno,10,1-10,No,No cambié de empresa,"Aumento por inflación, Bonos por desempeño, Horarios flexibles, Laptop"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,10+,5,0,Terciario,Completado,Técnico Analista de Sistemas,"Sí, de forma particular, Sí, los pagó un empleador",Developer,,"CSS, Go, HTML, Javascript, jQuery, PHP",,,,,No,0,Bruto,Full-Time,31401,Bruto,2,1,No,No recibo bono,Uno,15,501-1000,No,No cambié de empresa,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,3,1,0,Universitario,Incompleto,Informatica,"Sí, de forma particular",Developer,,"HTML, Javascript, jQuery, NodeJS, PHP",,,,,No,0,Bruto,Full-Time,31500,Bruto,3,2,No,No recibo bono,Uno,15,11-50,No,No cambié de empresa,"Aumento por inflación, Horarios flexibles, WFH (Trabajar desde casa)"
Mujer,34 - 36,Córdoba,10+,2,4,Universitario,Completado,Analista Universitario en Sistemas,"Sí, de forma particular, Sí, los pagó un empleador",QA / Tester,,,,Funcional,"Jira, HP Quality Center",,,,,Full-Time,31500,Neto,1,1,No,No recibo bono,Uno,10,5001-10000,No,No cambié de empresa,"Capacitaciones y/o cursos, Clases de idiomas, Descuentos en gimnasios, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Guardería, Horarios flexibles, Licencia de paternidad/maternidad extendida, Masajes, Playroom, Snacks, golosinas, bebidas, Viajes al exterior, WFH (Trabajar desde casa)"
Hombre,37 - 40,GBA,3,Menos de un año,0,Terciario,En curso,Tecnicatura Superior de Análisis de Sistemas,No,Networking,,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,31500,Neto,2,2,Menos de un sueldo,Día del telefónico,No,0,201-500,No,No cambié de empresa,"Aumento por inflación, Clases de idiomas, Comidas pagas/subvencionadas, Viáticos"
Hombre,27 - 30,Provincia de Buenos Aires,4,3,0,Universitario,Completado,Licenciatura en Sistemas,"Sí, de forma particular",Developer,,"CSS, HTML, Java, Javascript, jQuery, PHP",,,,,No,0,Bruto,Part-Time,31500,Neto,3,2,Menos de un sueldo,Presentismo,Dos,11,201-500,No,No cambié de empresa,"Vacaciones flexibles (adicionales a las reglamentarias), Viáticos"
Hombre,37 - 40,Santa Fe,10+,9,0,Terciario,Completado,VoIP,"Sí, de forma particular, Sí, los pagó un empleador",SysAdmin / DevOps,"Linux, Windows, Asterisk","HTML, Java, Javascript, jQuery, PHP",,,,,No,0,Bruto,Full-Time,31600,Neto,2,2,Menos de un sueldo,Mix de las anteriores,Uno,8,101-200,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,Santa Fe,3,3,0,Universitario,En curso,Ingeniería en Sistemas de Información,"Sí, de forma particular",Consultor BI,,,,,,,,,,Full-Time,31626,Neto,2,2,Menos de un sueldo,Mix de las anteriores,No,0,51-100,No,No cambié de empresa,"Clases de idiomas, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), WFH (Trabajar desde casa)"
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,8,6,0,Universitario,En curso,Lic. en Ciencias de la Computación,No,Developer,,C,,,,,"Sí, pasiva",2000,Neto,Full-Time,32000,Neto,4,3,No,No recibo bono,Uno,10,1-10,No,No cambié de empresa,"Aumento por inflación, Horarios flexibles, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,3,1,0,Universitario,En curso,Ingenieria en Sistemas,"Sí, de forma particular",Developer,,"Java, Python",,,,,No,0,Bruto,Full-Time,32000,Neto,2,1,Menos de un sueldo,Ninguna,No,0,1001-2000,No,No cambié de empresa,"Comidas pagas/subvencionadas, Descuentos en gimnasios, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, Laptop, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,6,4,0,Universitario,Incompleto,Ing Sistemas,"Sí, de forma particular, Sí, los pagó un empleador",Developer,,".NET, C++, C#, CSS, HTML, Javascript, jQuery, NodeJS",,,,,No,0,Porcentaje de mi sueldo,Full-Time,32000,Neto,2,1,No,No recibo bono,Uno,8,501-1000,No,No cambié de empresa,Horarios flexibles
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,3,Menos de un año,0,Terciario,En curso,Analista de Sistemas,"Sí, de forma particular",Developer,,".NET, C#, CSS, HTML, Javascript, jQuery",,,,,No,0,Bruto,Full-Time,32000,Bruto,2,3,No,No recibo bono,Uno,20,51-100,Sí,Salario,"Aumento por inflación, Horarios flexibles, WFH (Trabajar desde casa)"
Mujer,37 - 40,Ciudad Autónoma de Buenos Aires,10+,5,0,Terciario,Completado,,"Sí, de forma particular",Marketing,,,,,,,,,,Full-Time,32000,Neto,2,2,No,No recibo bono,Uno,10,101-200,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Horarios flexibles, WFH (Trabajar desde casa)"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,8,2,4,Terciario,En curso,Tecnicatura en desarrollo de software,"Sí, de forma particular, Sí, los pagó un empleador",Jefe infraestructura ,,,,,,,,,,Full-Time,32000,Bruto,1,2,No,No recibo bono,No,0,51-100,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos, Descuentos en gimnasios, Laptop"
Mujer,37 - 40,Ciudad Autónoma de Buenos Aires,8,5,0,Universitario,En curso,Ing en Informatica,"Sí, de forma particular",QA / Tester,,,,Funcional,HP LoadRunner,,,,,Full-Time,32000,Bruto,1,2,No,No recibo bono,No,0,1001-2000,No,No cambié de empresa,Ninguna de las anteriores
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,4,1,0,Terciario,En curso,Analista en Sistemas,"Sí, de forma particular, Sí, los pagó un empleador",Developer,,".NET, C#, CSS, HTML, Javascript, NodeJS",,,,,No,0,Porcentaje de mi sueldo,Full-Time,32000,Bruto,2,1,No,No recibo bono,No,0,1-10,No,No cambié de empresa,"Laptop, WFH (Trabajar desde casa)"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,10+,5,0,Terciario,Completado,operador tecnico de radio,"Sí, de forma particular",Networking,,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,32000,Neto,2,2,De uno a tres sueldos,Mix de las anteriores,Dos,21,1001-2000,No,No cambié de empresa,"Aumento por inflación, Bonos por desempeño, Descuentos en gimnasios, Horarios flexibles, Laptop, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,8,1,0,Terciario,Completado,Diseño Multimedia,"Sí, de forma particular",Designer,,,,,,,,,,Freelance,32000,Bruto,2,1,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Ninguna de las anteriores
Mujer,37 - 40,Ciudad Autónoma de Buenos Aires,8,5,0,Universitario,Completado,Ingeniería en Sistemas,No,Developer,,"CSS, HTML, Javascript, jQuery, Angular",,,,,No,0,Porcentaje de mi sueldo,Full-Time,32000,Neto,3,2,Menos de un sueldo,"Lo recibo siempre, es parte del convenio",No,0,201-500,No,No cambié de empresa,"Comidas pagas/subvencionadas, Transporte a cargo de la empresa"
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,10+,3,0,Terciario,En curso,Tecnicatura en Telecomunicaciones,"Sí, de forma particular",Infosec,,,,,,,No,0,Neto,Full-Time,32000,Bruto,3,3,Menos de un sueldo,Mix de las anteriores,Dos,26,5001-10000,Sí,Mayor comodidad,"Abono de celular y/o Internet, Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Cuota para universidad, Descuentos en gimnasios, Guardería, Horarios flexibles, Laptop, Licencia de paternidad/maternidad extendida, Masajes, Snacks, golosinas, bebidas, Stock options / Shares, Viajes al exterior, Viáticos, WFH (Trabajar desde casa)"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,10+,Menos de un año,4,Secundario,Incompleto,Técnico en Computación,"Sí, de forma particular, Sí, los pagó un empleador",SysAdmin / DevOps,"Linux, Windows, Amazon Web Services, Docker / Containers, VMWare",".NET, CSS, HTML, Javascript, jQuery, NodeJS, PHP, Python, R, VB *",,,,,"Sí, pasiva",0,Porcentaje de mi sueldo,Freelance,32000,Bruto,3,3,No,No recibo bono,No,0,1-10,Sí,Desafíos profesionales,"Capacitaciones y/o cursos, Horarios flexibles, Laptop, Snacks, golosinas, bebidas"
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,10+,3,0,Terciario,Completado,Analista en Sistemas,No,Developer,,".NET, C#, CSS, HTML, Javascript, jQuery, NodeJS, PHP",,,,,No,0,Bruto,Full-Time,32000,Bruto,2,2,No,No recibo bono,Uno,20,1001-2000,No,No cambié de empresa,"Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,3,1,0,Universitario,En curso,Ingenieria en sistemas,No,Analista Producto,,,,,,,,,,Full-Time,32000,Bruto,2,2,De uno a tres sueldos,Mix de las anteriores,Uno,13,1001-2000,No,No cambié de empresa,"Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Clases de idiomas, Descuentos en gimnasios, Playroom, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,10+,9,0,Universitario,Incompleto,,No,HelpDesk,,,,,,,No,0,Bruto,Full-Time,32000,Neto,3,1,Un sueldo,todos por igual,Uno,17,101-200,No,No cambié de empresa,"Aumento por inflación, Comidas pagas/subvencionadas"
Mujer,50+,Ciudad Autónoma de Buenos Aires,3,1,0,Universitario,Completado,Ingenieria quimica,"Sí, de forma particular, Sí, los pagó un empleador",Infosec,,,,,,,No,0,Bruto,Full-Time,32000,Neto,2,1,De uno a tres sueldos,"ninguno, esta en la contratacion, el doble aguinaldo",Uno,6,1001-2000,No,No cambié de empresa,"Abono de celular y/o Internet, Descuentos en gimnasios, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, Laptop, WFH (Trabajar desde casa)"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,6,Menos de un año,0,Universitario,Completado,Ingenieria de Sistemas,No,Developer,,"HTML, Java, Javascript, Objective-C",,,,,No,0,Bruto,Full-Time,32000,Neto,3,2,No,No recibo bono,No,0,101-200,Sí,Desafíos profesionales,"Comidas pagas/subvencionadas, Descuentos en gimnasios, Horarios flexibles, Laptop, WFH (Trabajar desde casa)"
