Me identifico,Tengo,Argentina,Anos de experiencia,Anos en el puesto actual,Gente a cargo,Cuanta,Nivel de estudios alcanzado,Estado,Carrera,Realizaste cursos de especializacion,Trabajo de,Tipo de contrato,Salario mensual (en tu moneda local),USD,Bruto o neto,Max Cantidad de empleados,Tecnologias que utilizas,Tecnologias que utilizas,Tecnologias que utilizas,Automation o funcional,Tecnologias que utilizas,Tecnologias que utilizas,Que tan conforme estas con tu sueldo,Como crees que esta tu sueldo con respecto a julio 2017,Recibis algun tipo de bono,A que esta atado el bono,Tuviste ajustes por inflacion en 2017,De que % fue el ajuste,Cambiaste de empresa en los ultimos 6 meses,Cual fue el principal motivo de cambio
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,2,1,No,0,Universitario,Completado,Ingenieria de Sistemas,No,SysAdmin / DevOps,Tercerizado (trabajo a traves de consultora o agencia),24000,1266,Neto,1000,"Windows, Azure",Powershell,,,,,2,2,No,No recibo bono,Uno,25,No,No cambie de empresa
Hombre,21 - 23,Cordoba,1,1,No,0,Universitario,En curso,Ingenieria en sistemas,"Si, de forma particular",Developer,Full-Time,24000,1266,Bruto,100,,Java,,,,,3,2,Un sueldo,Performance individual,Dos,20,Si,Desafios profesionales
Hombre,24 - 26,Tucuman,1,1,Si,2,Universitario,En curso,Ing en Sistemas,"Si, de forma particular",Developer,Part-Time,24000,1266,Neto,500,,".NET, C#, Java, Javascript, jQuery, NodeJS, PHP",,,,,3,3,No,No recibo bono,Mas de dos,25,No,No cambie de empresa
Hombre,24 - 26,Ciudad Autonoma de Buenos Aires,1,2,No,0,Secundario,Completado,,No,HelpDesk,Full-Time,24000,1266,Neto,10001,,,,,,,4,4,No,No recibo bono,No,40,No,No cambie de empresa
Hombre,27 - 30,Provincia de Buenos Aires,1,1,No,0,Universitario,En curso,Contador Publico,No,SysAdmin / DevOps,Full-Time,24000,1266,Neto,1000,Windows,SQL,,,,,2,2,Menos de un sueldo,Performance individual,Uno,12,No,Salario
Mujer,37 - 40,Ciudad Autonoma de Buenos Aires,9,5,No,0,Universitario,Incompleto,Ing,"Si, de forma particular, Si, los pago un empleador",PM,Remoto (empresa de otro pais),24000,1266,Neto,10,,,,,,,1,1,No,No recibo bono,No,0,Si,Explotacion de empleadores
Mujer,31 - 33,Provincia de Buenos Aires,7,6,No,0,Universitario,Incompleto,Comunicacion,No,Business Analyst,Full-Time,24000,1266,Neto,500,,,,,,,2,1,No,No recibo bono,No,0,No,No cambie de empresa
Mujer,27 - 30,Catamarca,5,5,No,0,Universitario,Completado,Ing informatica,"Si, de forma particular",Developer,Full-Time,24000,1266,Neto,200,,"HTML, Java, Javascript, jQuery, PHP",,,,,3,4,No,No recibo bono,Dos,14,No,No cambie de empresa
Mujer,24 - 26,Ciudad Autonoma de Buenos Aires,5,2,No,0,Universitario,En curso,,No,QA / Tester,Tercerizado (trabajo a traves de consultora o agencia),24000,1266,Bruto,10001,,,Ninguna. No soy de sistemas.,Funcional,Ninguna,,3,3,No,No recibo bono,Uno,5,No,No cambie de empresa
Mujer,24 - 26,Ciudad Autonoma de Buenos Aires,3,Menos de un ano,No,0,Universitario,Completado,Ingenieria Informatica,"Si, de forma particular",SysAdmin / DevOps,Full-Time,24000,1266,Bruto,100,"Linux, Amazon Web Services, Docker / Containers","Perl, Python, Bash",,,,,3,4,No,No recibo bono,No,0,Si,"Salario, beneficios, desafios personales y profesionales."
Mujer,27 - 30,Ciudad Autonoma de Buenos Aires,2,Menos de un ano,No,0,Terciario,Completado,Diseno Multimedial,"Si, de forma particular",QA / Tester,Full-Time,24000,1266,Neto,500,,,"CSS, HTML, jQuery, PHP",Funcional,Selenium,,2,2,Menos de un sueldo,Performance individual,Uno,15,Si,Salario
Mujer,21 - 23,Ciudad Autonoma de Buenos Aires,1,1,No,0,Universitario,En curso,,"Si, de forma particular",QA / Tester,Full-Time,24000,1266,Bruto,100,,,"CSS, HTML",Funcional,OpenQA,,2,3,No,No recibo bono,Uno,3,No,No cambie de empresa
Hombre,31 - 33,Ciudad Autonoma de Buenos Aires,Menos de un ano,Menos de un ano,No,0,Terciario,En curso,Tecnicatura superior en programacion,No,HelpDesk,Full-Time,24040,1268,Neto,10001,,,,,,,3,4,No,No recibo bono,No,0,Si,Salario
Hombre,34 - 36,Misiones,9,6,No,0,Universitario,Completado,Ingenieria en informatica,No,Developer,Full-Time,24135,1273,Neto,50,,"HTML, Javascript, jQuery, PHP",,,,,2,1,No,No recibo bono,Dos,14,No,No cambie de empresa
Hombre,34 - 36,Santa Fe,7,Menos de un ano,No,0,Universitario,Incompleto,Ing. Informatica,"Si, los pago un empleador",Developer,Full-Time,24200,1277,Neto,200,,".NET, C#, CSS, HTML, Javascript, jQuery",,,,,3,1,No,No recibo bono,Uno,10,No,No cambie de empresa
Hombre,24 - 26,Ciudad Autonoma de Buenos Aires,3,Menos de un ano,No,0,Universitario,Incompleto,Lic. en sistemas de informacion,No,Analista Funcional,Tercerizado (trabajo a traves de consultora o agencia),24200,1277,Neto,1000,,,,,,,2,1,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,3,2,No,0,Terciario,Completado,Analista de Sistemas,"Si, de forma particular",Developer,Full-Time,24200,1277,Neto,10,,"Javascript, PHP",,,,,2,3,No,No recibo bono,Dos,33,No,No cambie de empresa
Hombre,24 - 26,Cordoba,2,2,No,0,Universitario,Completado,Ingenieria en Software,"Si, de forma particular, Si, los pago un empleador",Developer,Full-Time,24200,1277,Neto,100,,"CSS, HTML, Java, Javascript, jQuery",,,,,3,3,Un sueldo,Mix de las anteriores,Dos,20,No,No cambie de empresa
Hombre,31 - 33,Provincia de Buenos Aires,10+,4,No,0,Terciario,Completado,CCNA cisco,"Si, de forma particular, Si, los pago un empleador",Encargado area tecnica del depto sistemas,Full-Time,24500,1292,Neto,200,,,,,,,2,2,No,No recibo bono,Dos,17,No,No cambie de empresa
Hombre,31 - 33,Ciudad Autonoma de Buenos Aires,10+,1,No,0,Universitario,Completado,Ingenieria,"Si, de forma particular",IT Support,Tercerizado (trabajo a traves de consultora o agencia),24500,1292,Bruto,1000,,,,,,,1,1,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,34 - 36,Santa Fe,10+,4,No,0,Universitario,En curso,Ingenieria en Sistemas de Informacion,"Si, de forma particular, Si, los pago un empleador",SysAdmin / DevOps,Full-Time,24500,1292,Neto,200,"Windows, Hyper-V, Dell EMC/Compellent/EqualLogic ",Scripts VB y PowerShell,,,,,2,2,Menos de un sueldo,Performance de la compania,Dos,20,No,No cambie de empresa
Hombre,27 - 30,Cordoba,5,5,No,0,Terciario,Completado,Analista de Sistemas,"Si, de forma particular",Developer,Full-Time,24500,1292,Neto,10,,".NET, C#, CSS, HTML",,,,,2,2,No,No recibo bono,Mas de dos,25,No,No cambie de empresa
Hombre,21 - 23,San Juan,3,1,No,0,Secundario,Completado,,"Si, de forma particular",Developer,Full-Time,24500,1292,Bruto,10,,"Java, SOA",,,,,3,3,Un sueldo,Performance individual,Uno,11,No,No cambie de empresa
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,2,1,No,0,Universitario,Completado,Ingenieria en Informatica,"Si, de forma particular",Developer,Full-Time,24500,1292,Neto,1000,,"CSS, HTML, Java, Javascript, jQuery, Ansible",,,,,2,2,No,No recibo bono,Dos,25,No,No cambie de empresa
Hombre,27 - 30,Cordoba,2,2,No,0,Universitario,Incompleto,ing en sistemas,"Si, los pago un empleador",Developer,Full-Time,24500,1292,Neto,10001,,"CSS, Java, Javascript, PLSQL",,,,,3,3,No,No recibo bono,Mas de dos,30,No,No cambie de empresa
Mujer,27 - 30,Ciudad Autonoma de Buenos Aires,3,2,No,0,Universitario,En curso,Ingenieria en Sistemas,"Si, de forma particular",Developer,Full-Time,24500,1292,Bruto,100,,"HTML, Javascript, Python",,,,,1,2,No,No recibo bono,Dos,23,No,No cambie de empresa
Mujer,24 - 26,Ciudad Autonoma de Buenos Aires,3,Menos de un ano,No,0,Universitario,En curso,Ingenieria en sistemas de informacion,No,QA / Tester,Full-Time,24500,1292,Bruto,1000,,,SQL Oracle,Funcional,Jira,,3,3,No,No recibo bono,Uno,10,No,No cambie de empresa
Otros,24 - 26,Ciudad Autonoma de Buenos Aires,2,1,No,0,Universitario,En curso,Ciencias de la computacion,No,Developer,Full-Time,24500,1292,Neto,200,,"HTML, Java, Javascript, NodeJS, Kotlin",,,,,2,2,No,No recibo bono,Dos,22,No,No cambie de empresa
Mujer,50+,Ciudad Autonoma de Buenos Aires,10+,6,Si,5,Terciario,Completado,Desarrollo web,"Si, de forma particular, Si, los pago un empleador",SysAdmin / DevOps,Full-Time,24600,1298,Bruto,10001,"HP-UX, Linux, Solaris, Windows, OpenStack",".NET, ActionScript, Javascript",,,,,3,3,Menos de un sueldo,Mix de las anteriores,Dos,15,Si,Salario
Hombre,37 - 40,Formosa,10+,9,No,0,Terciario,Completado,Analisis de sistemas,"Si, de forma particular",Developer,Full-Time,24700,1303,Bruto,2000,,"CSS, HTML, Javascript, jQuery, PHP, Python, VB *",,,,,2,2,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,24 - 26,Ciudad Autonoma de Buenos Aires,8,3,No,0,Universitario,En curso,Licenciatura en Administracion,"Si, de forma particular",Accounting,Full-Time,24700,1303,Neto,5000,,,,,,,2,1,No,Performance de la compania,No,0,No,No cambie de empresa
Hombre,34 - 36,GBA,3,2,No,0,Universitario,Incompleto,Lic en RRPP,"Si, de forma particular, Si, los pago un empleador",SysAdmin / DevOps,Full-Time,24700,1303,Neto,200,"Linux, Windows, Azure, VMWare","HTML, Java, PHP",,,,,2,3,No,No recibo bono,Dos,25,No,No cambie de empresa
Hombre,34 - 36,Ciudad Autonoma de Buenos Aires,10+,Menos de un ano,No,0,Universitario,Completado,Historia,"Si, de forma particular",QA / Tester,Tercerizado (trabajo a traves de consultora o agencia),24900,1313,Neto,500,,,SQL,Funcional,"HP QC, Jira",,2,2,No,No recibo bono,No,0,Si,Desvinculacion
Hombre,34 - 36,Provincia de Buenos Aires,7,5,No,0,Universitario,Incompleto,Diseno de imagen y sonido,No,Analista programador,Full-Time,24900,1313,Neto,200,,,,,,,3,3,No,No recibo bono,Uno,10,No,No cambie de empresa
Hombre,24 - 26,Ciudad Autonoma de Buenos Aires,2,Menos de un ano,No,0,Universitario,En curso,Ingenieria informatica en la UBA,No,Developer,Full-Time,24900,1313,Neto,50,,"CSS, HTML, Java, Javascript, jQuery, NodeJS",,,,,3,2,No,No recibo bono,No,0,No,No cambie de empresa
Mujer,27 - 30,Ciudad Autonoma de Buenos Aires,3,3,No,0,Universitario,En curso,ingenieria en Computacion,"Si, de forma particular",Networking,Full-Time,24900,1313,Neto,5000,,,,,,,3,2,Menos de un sueldo,Performance individual,Dos,20,No,No cambie de empresa
Hombre,24 - 26,Ciudad Autonoma de Buenos Aires,6,Menos de un ano,No,0,Secundario,Completado,,"Si, los pago un empleador",Networking,Full-Time,25004,1319,Neto,200,,,,,,,2,1,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,Menos de un ano,Menos de un ano,No,0,Universitario,En curso,Sistemas,"Si, los pago un empleador",SysAdmin / DevOps,Tercerizado (trabajo a traves de consultora o agencia),25000,1319,Bruto,100,"HP-UX, Linux, Amazon Web Services, Azure, VMWare","Go, HTML, Perl, PHP, Python",,,,,2,3,Un sueldo,Mix de las anteriores,Uno,19,Si,Mejores beneficios
Hombre,27 - 30,Tucuman,10+,9,Si,60,Secundario,Completado,Bachiller,"Si, de forma particular",Architect,Full-Time,25000,1319,Bruto,100,,,,,,,3,2,No,No recibo bono,Uno,7,Si,Desafios profesionales
Hombre,37 - 40,GBA,10+,8,No,0,Universitario,Completado,Ingeniria en Informatica,"Si, de forma particular, Si, los pago un empleador",DBA,Full-Time,25000,1319,Bruto,10001,,,,,,"DB2, Oracle, MQ",1,2,No,No recibo bono,Uno,10,No,No cambie de empresa
Hombre,37 - 40,Entre Rios,10+,2,No,0,Universitario,Incompleto,Ingenieria en sistemas,"Si, de forma particular, Si, los pago un empleador",Developer,Full-Time,25000,1319,Bruto,50,,"CSS, HTML, PHP, Python, VB *",,,,,3,2,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,31 - 33,Ciudad Autonoma de Buenos Aires,10+,8,No,0,Secundario,Completado,,No,Developer,Full-Time,25000,1319,Neto,100,,"CSS, HTML, Javascript, jQuery, NodeJS, PHP",,,,,1,2,No,No recibo bono,Uno,12,No,No cambie de empresa
Hombre,31 - 33,Ciudad Autonoma de Buenos Aires,10+,Menos de un ano,No,0,Terciario,Incompleto,Sistemas,"Si, de forma particular, Si, los pago un empleador",Developer,Full-Time,25000,1319,Bruto,500,,"HTML, Java, Javascript, SQL, PeopleCode",,,,,3,3,Menos de un sueldo,Horas extras,No,0,Si,Salario
Hombre,31 - 33,La Rioja,10+,3,No,0,Universitario,Completado,Ingenieria en Sistemas,"Si, de forma particular",Developer,Full-Time,25000,1319,Neto,500,,"CSS, HTML, Java, Javascript, jQuery, PHP",,,,,2,3,No,No recibo bono,Dos,15,No,No cambie de empresa
Hombre,37 - 40,Santiago del Estero,10+,8,No,0,Universitario,Completado,Analista de sistemas,No,Developer,Full-Time,25000,1319,Neto,500,,".NET, C#, CSS, HTML, Javascript, jQuery, Power Builder, Delphi",,,,,2,3,Menos de un sueldo,Al gremio al que pertenece la actividad de la empresa,Uno,23,No,No cambie de empresa
Hombre,50+,Ciudad Autonoma de Buenos Aires,10+,10+,No,0,Secundario,Incompleto,,"Si, de forma particular",Developer,Full-Time,25000,1319,Neto,10000,,Oracle,,,,,2,2,No,No recibo bono,No,14.5,No,No cambie de empresa
Hombre,31 - 33,Ciudad Autonoma de Buenos Aires,10+,Menos de un ano,No,0,Universitario,Incompleto,Varias,"Si, de forma particular, Si, los pago un empleador",HelpDesk,Tercerizado (trabajo a traves de consultora o agencia),25000,1319,Neto,50,,,,,,,3,2,No,No recibo bono,Dos,27,No,No cambie de empresa
Hombre,34 - 36,Cordoba,10+,8,Si,5,Universitario,Incompleto,Lic Cs. Computacion.,"Si, de forma particular",HelpDesk,Full-Time,25000,1319,Neto,200,,,,,,,1,1,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,34 - 36,Provincia de Buenos Aires,10+,3,No,0,Secundario,Completado,Tecnico en informatica,"Si, de forma particular",HelpDesk,Full-Time,25000,1319,Bruto,200,,,,,,,4,3,Menos de un sueldo,Mix de las anteriores,Dos,23.2,No,No cambie de empresa
Hombre,41 - 45,GBA,10+,Menos de un ano,No,0,Terciario,Completado,Tecnico en grabacion y post produccion de audio,No,HelpDesk,Full-Time,25000,1319,Bruto,500,,,,,,,3,3,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,31 - 33,GBA,10+,10+,No,0,Terciario,Completado,Lic. en Reactores Nucleares,"Si, los pago un empleador",HelpDesk,Full-Time,25000,1319,Neto,2000,,,,,,,2,2,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,37 - 40,San Juan,10+,6,No,0,Secundario,Completado,,"Si, de forma particular",Networking,Full-Time,25000,1319,Neto,100,,,,,,,2,1,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,31 - 33,Ciudad Autonoma de Buenos Aires,10+,3,Si,6,Posgrado,Incompleto,,"Si, de forma particular",Networking,Full-Time,25000,1319,Bruto,200,,,,,,,2,2,No,No recibo bono,Uno,15,Si,Salario
Hombre,37 - 40,Rio Negro,10+,9,No,0,Universitario,Incompleto,Derecho,"Si, de forma particular, Si, los pago un empleador",Networking,Part-Time,25000,1319,Neto,200,,,,,,,3,1,No,No recibo bono,Uno,20,No,No cambie de empresa
Hombre,46 - 49,GBA,10+,1,No,0,Terciario,Incompleto,,"Si, de forma particular",Networking,Tercerizado (trabajo a traves de consultora o agencia),25000,1319,Neto,5000,,,,,,,2,1,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,34 - 36,San Luis,10+,1,No,0,Secundario,Completado,,"Si, de forma particular",PM,Full-Time,25000,1319,Neto,1000,,,,,,,1,1,No,No recibo bono,Uno,10,No,No cambie de empresa
Hombre,50+,Provincia de Buenos Aires,10+,5,No,0,Secundario,Completado,Tecnico en formacion de comunidades,"Si, de forma particular, Si, los pago un empleador",PM,Part-Time,25000,1319,Bruto,10,,,,,,,2,2,No,No recibo bono,Uno,12,No,No cambie de empresa
Hombre,34 - 36,Ciudad Autonoma de Buenos Aires,10+,8,No,0,Secundario,Completado,,"Si, de forma particular",QA / Tester,Full-Time,25000,1319,Bruto,10000,,,".NET, ActionScript",Funcional,Test Complete,,1,1,No,Performance individual,Uno,15,No,No cambie de empresa
Hombre,41 - 45,Ciudad Autonoma de Buenos Aires,10+,10+,No,0,Secundario,Completado,,No,SysAdmin / DevOps,Full-Time,25000,1319,Neto,50,"Linux, Windows, VMWare","HTML, Javascript, Perl, PHP",,,,,1,2,No,No recibo bono,Dos,20,No,No cambie de empresa
Hombre,37 - 40,Provincia de Buenos Aires,10+,9,Si,2,Terciario,Completado,,No,SysAdmin / DevOps,Full-Time,25000,1319,Bruto,50,"Linux, Solaris, Windows","HTML, Java",,,,,4,2,De uno a tres sueldos,Performance individual,No,0,No,No cambie de empresa
Hombre,31 - 33,Santa Fe,10+,5,No,0,Terciario,Completado,Analista de Sistemas,"Si, los pago un empleador",SysAdmin / DevOps,Full-Time,25000,1319,Neto,100,"Linux, Windows, VMWare, Nuve Iplan",VFP,,,,,3,3,No,No recibo bono,Mas de dos,30,No,No cambie de empresa
Hombre,41 - 45,Ciudad Autonoma de Buenos Aires,10+,8,No,0,Universitario,Incompleto,Ingenieria Electronica,"Si, los pago un empleador",SysAdmin / DevOps,Tercerizado (trabajo a traves de consultora o agencia),25000,1319,Neto,500,"Windows, VMWare","Python, Powershell",,,,,2,3,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,34 - 36,Ciudad Autonoma de Buenos Aires,10+,6,No,0,Terciario,En curso,Administracion de Sistemas,"Si, de forma particular, Si, los pago un empleador",SysAdmin / DevOps,Full-Time,25000,1319,Neto,1000,"Windows, VMWare",Ninguna,,,,,3,2,Menos de un sueldo,Performance individual,No,0,No,No cambie de empresa
Hombre,41 - 45,Provincia de Buenos Aires,10+,10+,Si,14,Secundario,Completado,.,"Si, de forma particular",SysAdmin / DevOps,Full-Time,25000,1319,Neto,5000,"AIX, Linux, Solaris, Windows, VMWare",.,,,,,1,1,Menos de un sueldo,Performance individual,No,0,No,No cambie de empresa
Hombre,41 - 45,Ciudad Autonoma de Buenos Aires,10+,Menos de un ano,No,0,Terciario,Completado,Diseno Grafico,"Si, de forma particular",UX Designer,Full-Time,25000,1319,Neto,2000,,,,,,,1,1,Menos de un sueldo,Mix de las anteriores,Uno,8,No,Desafios profesionales
Hombre,31 - 33,GBA,9,3,No,0,Universitario,En curso,Informatica,"Si, de forma particular",Analista,Full-Time,25000,1319,Neto,10,,,,,,,2,2,Menos de un sueldo,Performance grupal,Dos,22,No,No cambie de empresa
Hombre,34 - 36,Cordoba,9,3,No,0,Terciario,Completado,diseno multimedia,No,Designer,Full-Time,25000,1319,Bruto,100,,,,,,,1,1,No,No recibo bono,Uno,10,No,No cambie de empresa
Hombre,27 - 30,Rio Negro,9,5,No,0,Universitario,Incompleto,Ingenieria en Informatica,No,Full-Stack Developer,Part-Time,25000,1319,Neto,10,,,,,,,3,2,No,Mix de las anteriores,No,0,No,No cambie de empresa
Hombre,37 - 40,Provincia de Buenos Aires,9,5,No,0,Universitario,Incompleto,comunicador audiovisual,"Si, los pago un empleador",QA / Tester,Full-Time,25000,1319,Bruto,1000,,,Javascript,Funcional,testlink y bugzilla,,3,4,Menos de un sueldo,Mix de las anteriores,Mas de dos,45,No,No cambie de empresa
Hombre,34 - 36,GBA,9,8,Si,3,Universitario,Completado,Ingenieria en Informatica,"Si, los pago un empleador",SysAdmin / DevOps,Full-Time,25000,1319,Neto,50,"Linux, Windows, VMWare",C#,,,,,2,2,No,No recibo bono,Dos,10,No,No cambie de empresa
Hombre,41 - 45,Mendoza,9,5,Si,1,Universitario,Completado,,"Si, de forma particular",SysAdmin / DevOps,Full-Time,25000,1319,Neto,100,Windows,.NET,,,,,2,1,No,No recibo bono,Uno,10,No,No cambie de empresa
Hombre,24 - 26,GBA,9,7,No,0,Terciario,Incompleto,Sistemas,"Si, los pago un empleador",SysAdmin / DevOps,Full-Time,25000,1319,Neto,10,"*BSD, Linux, Windows, Amazon Web Services",No,,,,,3,3,No,No recibo bono,Uno,20,No,No cambie de empresa
Hombre,31 - 33,Misiones,8,3,No,0,Universitario,Completado,Ingenieria informatica,"Si, de forma particular",Developer,Full-Time,25000,1319,Neto,10001,,"Java, Javascript",,,,,2,2,No,No recibo bono,Mas de dos,23,No,No cambie de empresa
Hombre,37 - 40,Cordoba,8,8,No,0,Terciario,Completado,Analista de Sistemas,No,Developer,Full-Time,25000,1319,Neto,10,,.NET,,,,,3,3,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,34 - 36,Provincia de Buenos Aires,8,3,No,0,Terciario,Incompleto,Tecnico en Programacion,"Si, de forma particular",HelpDesk,Full-Time,25000,1319,Bruto,10001,,,,,,,3,2,Menos de un sueldo,Mix de las anteriores,No,0,No,No cambie de empresa
Hombre,24 - 26,Ciudad Autonoma de Buenos Aires,8,Menos de un ano,No,0,Secundario,Completado,Tecnico automotores,"Si, de forma particular",Networking,Full-Time,25000,1319,Neto,50,,,,,,,4,4,Menos de un sueldo,Performance individual,No,0,Si,Desafios profesionales
Hombre,27 - 30,Cordoba,8,8,No,0,Universitario,Incompleto,Ingenieria en Informatica,"Si, de forma particular",Networking,Full-Time,25000,1319,Bruto,10001,,,,,,,2,2,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,27 - 30,GBA,8,8,Si,2,Secundario,Completado,,"Si, de forma particular",SysAdmin / DevOps,Full-Time,25000,1319,Neto,100,"Linux, Windows","CSS, HTML, Java, Javascript, jQuery, Python",,,,,2,2,No,No recibo bono,Uno,0,No,No cambie de empresa
Hombre,34 - 36,Ciudad Autonoma de Buenos Aires,8,8,Si,1,Terciario,En curso,marketing,"Si, de forma particular",SysAdmin / DevOps,Full-Time,25000,1319,Neto,200,"Linux, Windows","HTML, Java",,,,,3,2,No,No recibo bono,Dos,26,No,No cambie de empresa
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,7,6,No,0,Secundario,Completado,Tecnico en infomatica,"Si, de forma particular",Administrador windows,Full-Time,25000,1319,Neto,5000,,,,,,,3,2,Un sueldo,Dia del trabajaor telefonico,No,0,No,No cambie de empresa
Hombre,31 - 33,Santa Fe,7,2,No,0,Terciario,Completado,Analista en sistemas,"Si, los pago un empleador",Developer,Full-Time,25000,1319,Neto,200,,".NET, C#, Javascript, jQuery",,,,,3,3,Menos de un sueldo,Antig��edad,Dos,20,No,No cambie de empresa
Hombre,31 - 33,Provincia de Buenos Aires,7,7,Si,3,Universitario,Completado,Ingenieria de sistemas,"Si, de forma particular",Developer,Full-Time,25000,1319,Neto,10,,"HTML, Java, Javascript",,,,,3,2,No,No recibo bono,Uno,20,No,No cambie de empresa
Hombre,34 - 36,Ciudad Autonoma de Buenos Aires,7,3,No,0,Secundario,Incompleto,bachiller,"Si, de forma particular, Si, los pago un empleador",Storage / Backup,Full-Time,25000,1319,Neto,5000,,,,,,,3,2,No,No recibo bono,Uno,23,No,No cambie de empresa
Hombre,31 - 33,Ciudad Autonoma de Buenos Aires,7,5,No,0,Universitario,Incompleto,Ing informatico,"Si, de forma particular, Si, los pago un empleador",SysAdmin / DevOps,Full-Time,25000,1319,Neto,500,"*BSD, AIX, Linux, Windows, Azure, OpenStack, VMWare","Java, Javascript, Perl, Ruby",,,,,2,2,No,No recibo bono,Uno,20,No,No cambie de empresa
Hombre,27 - 30,La Pampa,6,3,No,0,Doctorado,Completado,,"Si, de forma particular",Architect,Part-Time,25000,1319,Neto,100,,,,,,,3,2,No,No recibo bono,Uno,5,No,No cambie de empresa
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,6,Menos de un ano,No,0,Terciario,Completado,Analista en sistemas,"Si, de forma particular",Developer,Tercerizado (trabajo a traves de consultora o agencia),25000,1319,Neto,100,,".NET, C#, CSS, HTML, Javascript, jQuery, VB *",,,,,2,2,No,No recibo bono,No,0,Si,Despido
Hombre,24 - 26,Ciudad Autonoma de Buenos Aires,6,3,No,0,Universitario,Incompleto,Ingenieria en sistemas de informacion,"Si, los pago un empleador",ETL developer,Tercerizado (trabajo a traves de consultora o agencia),25000,1319,Bruto,100,,,,,,,2,1,No,No recibo bono,Uno,10,No,No cambie de empresa
Hombre,31 - 33,Ciudad Autonoma de Buenos Aires,6,4,No,0,Secundario,Completado,,"Si, los pago un empleador",Infosec,Tercerizado (trabajo a traves de consultora o agencia),25000,1319,Bruto,500,,,,,,,2,1,No,No recibo bono,Uno,15,No,No cambie de empresa
Hombre,21 - 23,Ciudad Autonoma de Buenos Aires,5,4,No,0,Universitario,En curso,Ingenieria en sistemas de informacion,No,Developer,Part-Time,25000,1319,Bruto,50,,Java,,,,,4,4,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,24 - 26,Ciudad Autonoma de Buenos Aires,5,5,Si,2,Universitario,Completado,Tecnico en programacion,"Si, de forma particular",Developer,Part-Time,25000,1319,Bruto,50,,"Python, Ruby",,,,,2,2,No,No recibo bono,Dos,25,No,No cambie de empresa
Hombre,27 - 30,Tucuman,5,2,No,0,Universitario,En curso,Ingenieria en Sistemas,"Si, de forma particular, Si, los pago un empleador",Developer,Full-Time,25000,1319,Neto,200,,".NET, C#, CSS, HTML, Javascript, NodeJS",,,,,3,2,Menos de un sueldo,Mix de las anteriores,Uno,50,No,No cambie de empresa
Hombre,27 - 30,Entre Rios,5,2,No,0,Terciario,Completado,TSP,"Si, de forma particular",Developer,Tercerizado (trabajo a traves de consultora o agencia),25000,1319,Neto,200,,"HTML, Java, Javascript, jQuery",,,,,2,2,No,No recibo bono,Dos,26,No,No cambie de empresa
Hombre,31 - 33,Ciudad Autonoma de Buenos Aires,5,Menos de un ano,No,0,Universitario,Completado,Ingenieria de Sistemas,No,Developer,Full-Time,25000,1319,Neto,1000,,Java,,,,,3,3,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,31 - 33,Provincia de Buenos Aires,5,2,No,0,Universitario,En curso,,"Si, de forma particular",Developer,Full-Time,25000,1319,Neto,1000,,Java,,,,,2,2,De uno a tres sueldos,Mix de las anteriores,Dos,25,No,No cambie de empresa
Hombre,27 - 30,Provincia de Buenos Aires,5,Menos de un ano,No,0,Universitario,En curso,Ingenieria de sistemas,"Si, de forma particular",Developer,Full-Time,25000,1319,Bruto,1000,,".NET, SQL",,,,,2,3,No,No recibo bono,No,0,Si,Salario
Hombre,31 - 33,Tucuman,5,2,No,0,Universitario,Completado,Ibgenieria en sistemas,No,Developer,Full-Time,25000,1319,Neto,5000,,"CSS, HTML, Java, Javascript, jQuery, NodeJS, PHP",,,,,2,3,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,24 - 26,Ciudad Autonoma de Buenos Aires,5,Menos de un ano,No,0,Universitario,En curso,Licenciatura en Desarrollo de Software,"Si, de forma particular, Si, los pago un empleador",HelpDesk,Full-Time,25000,1319,Bruto,200,,,,,,,3,4,No,No recibo bono,Uno,7,Si,Salario
Hombre,27 - 30,Mendoza,5,4,No,0,Universitario,Completado,Tecnico Universitario en Redes y Telecomunicaciones,"Si, de forma particular, Si, los pago un empleador",Networking,Full-Time,25000,1319,Neto,50,,,,,,,3,3,No,No recibo bono,Uno,30,No,No cambie de empresa
