Me identifico,Tengo,Argentina,Anos de experiencia,Anos en el puesto actual,Gente a cargo,Cuanta,Nivel de estudios alcanzado,Estado,Carrera,Realizaste cursos de especializacion,Trabajo de,Tipo de contrato,Salario mensual (en tu moneda local),USD,Bruto o neto,Max Cantidad de empleados,Tecnologias que utilizas,Tecnologias que utilizas,Tecnologias que utilizas,Automation o funcional,Tecnologias que utilizas,Tecnologias que utilizas,Que tan conforme estas con tu sueldo,Como crees que esta tu sueldo con respecto a julio 2017,Recibis algun tipo de bono,A que esta atado el bono,Tuviste ajustes por inflacion en 2017,De que % fue el ajuste,Cambiaste de empresa en los ultimos 6 meses,Cual fue el principal motivo de cambio
Hombre,27 - 30,Jujuy,4,1,No,0,Universitario,En curso,Ingenieria Informatica,"Si, de forma particular",SysAdmin / DevOps,Tercerizado (trabajo a traves de consultora o agencia),4500,237,Bruto,10,"Linux, Windows, proxmox",bash,,,,,2,1,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,21 - 23,Ciudad Autonoma de Buenos Aires,1,2,No,0,Terciario,Completado,Desarrollo de Videojuegos,"Si, de forma particular",Developer,Part-Time,4500,237,Neto,10,,".NET, VB *",,,,,1,1,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,21 - 23,Ciudad Autonoma de Buenos Aires,Menos de un ano,1,No,0,Terciario,Completado,,No,Storage / Backup,Part-Time,4700,248,Neto,10,,,,,,,3,2,No,No recibo bono,Uno,10,No,No cambie de empresa
Hombre,21 - 23,Chaco,1,1,No,0,Universitario,En curso,Ingenieria en sistemas de informacion,No,HelpDesk,Part-Time,4700,248,Neto,10,,,,,,,2,1,No,No recibo bono,Dos,10,No,No cambie de empresa
Hombre,27 - 30,Misiones,3,2,No,0,Universitario,En curso,Ingenieria en informatica,No,HelpDesk,Part-Time,4800,253,Neto,500,,,,,,,1,4,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,37 - 40,Provincia de Buenos Aires,Menos de un ano,Menos de un ano,No,0,Universitario,Completado,Diseno Grafico,"Si, de forma particular",Diseno Grafico,Freelance,5000,263,Neto,10,,,,,,,1,1,No,No recibo bono,No,0,Si,Desafios profesionales
Mujer,34 - 36,Provincia de Buenos Aires,10+,10+,Si,30,Terciario,Completado,Minoridad y estadistica,"Si, de forma particular",Administracion,Part-Time,5000,263,Bruto,100,,,,,,,1,1,No,No recibo bono,No,2,No,No cambie de empresa
Mujer,31 - 33,Provincia de Buenos Aires,7,1,No,0,Secundario,Completado,Panadero artesanal,No,Infosec,Part-Time,5000,263,Neto,10,,,,,,,1,1,No,No recibo bono,No,0,Si,No cambie de empresa
Mujer,27 - 30,Cordoba,6,6,No,0,Primario,Completado,,No,HelpDesk,Full-Time,5000,263,Bruto,100,,,,,,,1,1,No,No recibo bono,No,0,No,No cambie de empresa
Mujer,34 - 36,Provincia de Buenos Aires,5,1,No,0,Secundario,Completado,Experto contable,"Si, de forma particular",PM,Part-Time,5000,263,Neto,500,,,,,,,2,1,No,No recibo bono,No,0,No,No cambie de empresa
