Me identifico,Tengo,Dónde estás trabajando,Años de experiencia,Años en la empresa actual,Años en el puesto actual,¿Gente a cargo?,Nivel de estudios alcanzado,Estado,Carrera,Universidad,Realizaste cursos de especialización,¿Contribuís a proyectos open source?,¿Programás como hobbie?,Trabajo de,Plataformas,Lenguajes de programación,"Frameworks, herramientas y librerías",Bases de datos,QA / Testing,IDEs,¿Qué SO usás en tu laptop/PC para trabajar?,¿Y en tu celular?,¿Tenés guardias?,Cuánto cobrás por guardia,"¿Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual BRUTO (en tu moneda local),Salario mensual NETO (en tu moneda local),¿Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto al último semestre,Recibís algún tipo de bono,A qué está atado el bono,¿Tuviste ajustes por inflación en 2019?,¿De qué % fue el ajuste total?,¿En qué mes fue el último ajuste?,¿Sufriste o presenciaste situaciones de violencia laboral?,Orientación sexual,¿Tenés algún tipo de discapacidad?,¿Sentís que esto te dificultó el conseguir trabajo?,¿A qué eventos de tecnología asististe en el último año?,Cantidad de empleados,Actividad principal,¿La recomendás como un buen lugar para trabajar?,¿Cómo calificás las políticas de diversidad e inclusión?,¿A cuántos kilómetros de tu casa queda la oficina?,Beneficios extra,"¿Cuáles considerás que son las mejores empresas de IT para trabajar en este momento, en tu ciudad?"
Hombre,37,Chaco,14,14,14,0,Universitario,Completado,Tecnicatura Superior en Programación,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular, Sí, los pagó un empleador",No,Sí,SysAdmin / DevOps / SRE,"Linux, VMWare, Windows Server",".NET, HTML, Javascript, PHP, SQL, VBA",".NET Core, Bootstrap, jQuery","MSSQL, MySQL, PostgreSQL",,"NetBeans, Notepad++, Visual Studio",Windows,Android,No,0,Porcentaje de mi sueldo,Full-Time,57000,46000,4,3,No,No recibo bono,Tres,10,10,Jamás,Heterosexual,,No,,1-10,Otras industrias,9,9,2,"Capacitaciones y/o cursos, Horarios flexibles, Licencia de paternidad/maternidad extendida, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos",
Hombre,27,Chaco,3,2,2,0,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular",No,Sí,Developer,"Amazon Web Services, Docker, Linux, Serverless","Java, Javascript, TypeScript",,"Amazon DynamoDB, MySQL, PostgreSQL","Cucumber, Postman, Selenium","Emacs, IntelliJ, Nano, Visual Studio Code",GNU/Linux,Android,No,0,Porcentaje de mi sueldo,Full-Time,46000,37000,1,1,No,No recibo bono,Dos,37,9,Jamás,Heterosexual,,No,,5001-10000,Servicios / Consultoría de Software / Digital,6,4,1,"Clases de idiomas, Gimnasios gratuitos / subvencionados, Masajes, Playroom, WFH (Trabajar desde casa)",Globant
Hombre,27,Chaco,2,1,2,0,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular",No,Sí,Developer,"Amazon Web Services, Linux, Serverless","Bash/Shell, Java, SQL","Hibernate, Spring",Oracle,"JUnit, Postman","Eclipse, Notepad++",Windows,Android,No,0,Porcentaje de mi sueldo,Full-Time,37000,31000,2,3,No,No recibo bono,Dos,47,10,Jamás,Heterosexual,,,,101-200,Servicios / Consultoría de Software / Digital,9,10,24,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Gimnasios gratuitos / subvencionados, Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles, Licencia de paternidad/maternidad extendida, Masajes, Playroom, Snacks, golosinas, bebidas, Stock options / RSUs, WFH (Trabajar desde casa)",
Hombre,22,Chaco,1.5,1.5,1.5,0,Terciario,Incompleto,Tecnicatura en Programación,UTN - Universidad Tecnológica Nacional,No,No,Sí,Developer,"Amazon Web Services, Linux, Serverless","Bash/Shell, Java, Python","Flask, Spring","Amazon DynamoDB, ElasticSearch, MongoDB, Oracle","JUnit, Postman","IntelliJ, Nano, PyCharm, Sublime Text, Visual Studio Code",GNU/Linux,Android,No,0,Bruto,Full-Time,32000,26500,2,1,Menos de un sueldo,Performance individual,Uno,5,10,Jamás,Heterosexual,,,Inteligencia Artificial,101-200,Producto basado en Software,9,10,2,"Capacitaciones y/o cursos, Clases de idiomas, Gimnasios gratuitos / subvencionados, Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles, Licencia de paternidad/maternidad extendida, Masajes, Playroom, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)",
Hombre,30,Chaco,0,0,0,0,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular",No,Sí,QA / Tester,,Java,,,"JUnit, Selenium, TestNG",IntelliJ,Windows,Android,No,0,Neto,Full-Time,40000,32900,2,3,No,No recibo bono,No,0,0,Jamás,Bisexual o queer,,,,101-200,Producto basado en Software,7,9,2,"Capacitaciones y/o cursos, Clases de idiomas, Gimnasios gratuitos / subvencionados, Licencia de paternidad/maternidad extendida, Masajes, Playroom, WFH (Trabajar desde casa)","Globant, 42Mate"
Hombre,38,Chaco,12,6,4,1,Terciario,En curso,Tecnicatura Superior en Programación,UTN - Universidad Tecnológica Nacional,No,No,No,QA / Tester,,,,,,"Android Studio, Notepad++, SalesForce",Windows,Android,No,0,Bruto,Full-Time,65500,43000,1,2,No,Performance grupal,Más de tres,60,12,Jamás,Heterosexual,,No,,101-200,Servicios / Consultoría de Software / Digital,10,10,30,"Capacitaciones y/o cursos, Clases de idiomas, Gimnasios gratuitos / subvencionados, Horarios flexibles, Licencia de paternidad/maternidad extendida, Masajes, Playroom, Sueldo dolarizado, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)","Globant, TradeHelm."
Hombre,28,Chaco,1.5,1.5,1.5,0,Universitario,En curso,Analista Programador Universitario,UAI - Universidad Abierta Interamericana,"Sí, de forma particular, Sí, los pagó un empleador",Sí,Sí,Developer,Linux,"CSS, HTML, Javascript, TypeScript","Angular, Bootstrap, jQuery, Node.js, React.js",MySQL,"Cypress, Jest",Visual Studio Code,GNU/Linux,Android,No,0,Porcentaje de mi sueldo,Full-Time,42000,35500,1,2,No,No recibo bono,Uno,40,7,Jamás,Heterosexual,,,Hacktoberfest,10001+,Producto basado en Software,7,10,2.4,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Sueldo dolarizado, WFH (Trabajar desde casa)",
Hombre,42,Chaco,20,16,13,3,Universitario,Completado,Tecnicatura en Informática,UNNE - Universidad Nacional del Nordeste,"Sí, de forma particular, Sí, los pagó un empleador",No,Sí,DBA,Linux,"Bash/Shell, HTML, PHP, SQL, VBA, PowerBuilder",SIU-Toba,"Informix, MySQL, PostgreSQL",PHPUnit,"NetBeans, Notepad++, Visual Studio Code",GNU/Linux,Android,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,70000,50000,2,2,No,No recibo bono,No,0,0,Jamás,Heterosexual,,,,2001-5000,Servicios / Consultoría de Software / Digital,6,10,3,"Capacitaciones y/o cursos, Viáticos",
Hombre,28,Chaco,1,1,1,0,Universitario,En curso,Ingeniería Electrónica,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular",No,Sí,QA / Tester,"Amazon Web Services, Azure, Linux","Groovy, Java, SQL",,MySQL,"Katalon, Selenium","Eclipse, IntelliJ, Notepad++",Windows,Android,No,0,Neto,Full-Time,33000,27000,2,3,Menos de un sueldo,Performance individual,Uno,47,10,Jamás,Heterosexual,,No,,101-200,Producto basado en Software,8,9,1,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Masajes","Globant, devlights, innew"
Hombre,37,Chaco,13,0,0,0,Universitario,Completado,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular",No,Sí,Developer,"Amazon Web Services, Linux",PHP,Symfony,MySQL,,PHPStorm,Windows,Android,No,0,Porcentaje de mi sueldo,Full-Time,85000,70000,4,3,No,No recibo bono,Dos,25,12,Jamás,Heterosexual,,No,,51-100,Producto basado en Software,9,9,4,"Clases de idiomas, Comidas pagas / subvencionadas, Horarios flexibles, Snacks, golosinas, bebidas, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)",BlueTrail Software
Hombre,40,Chaco,15,7,5,4,Universitario,Incompleto,Tecnicatura en Informática,Unne,"Sí, de forma particular",No,Sí,Developer,"Docker, Firebase, Heroku, Linux, Windows Server","CSS, Go, HTML, Javascript, PHP, Python, SQL","Angular, Bootstrap, Flask, Flutter, jQuery, Node.js, Vue.js","MariaDB, MSSQL, MongoDB, MySQL, SQLite, Sybase","Jest, Postman","Android Studio, Sublime Text, Vim, Visual Studio Code",Windows,Android,No,0,Bruto,Remoto (empresa de otro país),70000,60000,4,4,No,No recibo bono,No,0,0,Jamás,Heterosexual,,,Orador de GO en GLOBANT,1-10,Otras industrias,10,10,-1,Viajes al exterior,Sólo conozco Globant
Hombre,41,Chaco,15,11,11,1,Universitario,Incompleto,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular",Sí,Sí,Developer,Windows Server,"SQL, Clarion",,MSSQL,,,Windows,Android,No,0,Neto,Full-Time,47900,45540,2,1,No,No recibo bono,No,0,0,En un trabajo anterior,Heterosexual,,No,,1-10,Producto basado en Software,5,3,7,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)",
Hombre,33,Chaco,6,0,0,0,Terciario,Incompleto,Tecnicatura en Programación,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular, Sí, los pagó un empleador",Sí,Sí,Developer,"Docker, Kubernetes, Linux","CSS, HTML, Javascript","Node.js, React.js",,,Visual Studio Code,GNU/Linux,Android,No,0,Bruto,Tercerizado (trabajo a través de consultora o agencia),80000,66400,2,3,No,No recibo bono,No,0,0,En un trabajo anterior,Heterosexual,,,,1-10,Producto basado en Software,7,10,-1,"Horarios flexibles, Viajes al exterior, WFH (Trabajar desde casa)",
Hombre,26,Chaco,0,0,0,0,Universitario,Completado,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular, Sí, los pagó un empleador",No,No,Consultant,"Amazon Web Services, Azure, Linux, VMWare, Windows Server","Bash/Shell, PHP, Python, SQL","CodeIgniter, Symfony, WordPress","Amazon DynamoDB, ElasticSearch, MySQL, PostgreSQL",,Visual Studio Code,Windows,Android,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,40000,35000,3,3,No,No recibo bono,Tres,10,11,Jamás,Heterosexual,,No,,1-10,Servicios / Consultoría de Software / Digital,10,10,2,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Horarios flexibles, Snacks, golosinas, bebidas",
