Me identifico,Tengo,Argentina,Anos de experiencia,Anos en el puesto actual,Trabajo de,Tipo de contrato,Salario mensual (en tu moneda local),USD,Bruto o neto,Max Cantidad de empleados,Gente a cargo,Cuanta,Tecnologias que utilizas,Tecnologias que utilizas,Automation o funcional,Tecnologias que utilizas,Tecnologias que utilizas,Tenes guardias,Cuanto cobras por guardia (en tu moneda local),"Porcentaje, bruto o neto",Que tan conforme estas con tu sueldo,Como crees que esta tu sueldo con respecto a Julio 2016,Recibis algun tipo de bono,A que esta atado el bono,Tuviste ajustes por inflacion en 2016,De que % fue el ajuste,Cambiaste de empresa en los ultimos 6 meses,Cual fue el principal motivo de cambio,Beneficios extra
Hombre,18 - 20,Ciudad Autonoma de Buenos Aires,3,1,SysAdmin / DevOps,Full-Time,12000,747,Neto,100,No,0,"Linux, Windows, OpenStack, VMWare, Centos, Elastix, Zabbix",,,,,No,0,Porcentaje de mi sueldo,2,3,No,No recibo bono,Dos,18,No,No cambie de empresa,Ninguna de las anteriores
Hombre,27 - 30,Provincia de Buenos Aires,10+,8,Armado,Full-Time,12000,747,Neto,10,No,0,"Linux, Windows, VMWare",,,,,No,0,Porcentaje de mi sueldo,2,2,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,7,Menos de un ano,Asistencia tecnica,Full-Time,12000,747,Neto,10,No,0,"Linux, Windows, VMWare",,,,,No,0,Porcentaje de mi sueldo,3,2,Menos de un sueldo,Performance de la compania,No,0,Si,Mayor comodidad,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,27 - 30,Provincia de Buenos Aires,6,5,Designer,Full-Time,12000,747,Neto,10,No,0,Diseno,,,,,"Si, pasiva",0,Bruto,2,1,No,No recibo bono,Dos,20,No,No cambie de empresa,Ninguna de las anteriores
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,4,3,Developer,Part-Time,12000,747,Neto,10,No,0,"Linux, Windows, Oracle, nodejs",,,,,No,0,Bruto,3,1,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
Hombre,21 - 23,Cordoba,1,1,Developer,Full-Time,12000,747,Neto,10,No,0,"Linux, Windows, OpenStack",,,,,No,0,Neto,2,2,No,No recibo bono,Dos,20,No,No cambie de empresa,Ninguna de las anteriores
Hombre,27 - 30,Santa Fe,2,2,Developer,Full-Time,12000,747,Neto,10,No,0,Windows,,,,,No,0,Bruto,3,3,No,No recibo bono,Dos,50,No,No cambie de empresa,"Aumento por inflacion, Sueldo divido en dos pagos por mes"
Hombre,21 - 23,Santa Fe,Menos de un ano,Menos de un ano,Developer,Part-Time,12000,747,Neto,10,No,0,Windows,,,,,No,0,Neto,3,3,No,No recibo bono,Mas de dos,40,No,No cambie de empresa,"Aumento por inflacion, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,24 - 26,Provincia de Buenos Aires,Menos de un ano,Menos de un ano,HelpDesk,Full-Time,12000,747,Neto,10,No,0,Windows,,,,,"Si, pasiva",0,Porcentaje de mi sueldo,3,3,No,No recibo bono,No,0,Si,Desafios profesionales,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Comidas pagas/subvencionadas, Snacks, golosinas, bebidas"
Hombre,24 - 26,Provincia de Buenos Aires,6,6,HelpDesk,Full-Time,12000,747,Neto,10,No,0,"Linux, Windows, Sql, server y hardware especializado",,,,,"Si, activa",12000,Neto,4,3,No,No recibo bono,Mas de dos,30,No,No cambie de empresa,"Abono de celular y/o Internet, Aumento por inflacion, Horarios flexibles, Laptop"
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,3,1,Infosec,Full-Time,12000,747,Neto,10,No,0,"Linux, Windows, VMWare",,,,,No,0,Neto,1,1,No,No recibo bono,No,0,No,No cambie de empresa,Capacitaciones y/o cursos
Hombre,21 - 23,Provincia de Buenos Aires,2,Menos de un ano,Operador SIM,Full-Time,12000,747,Neto,10,No,0,"Windows, VMWare",,,,,No,0,Neto,3,2,No,No recibo bono,No,0,Si,Salario,Ninguna de las anteriores
Hombre,27 - 30,San Luis,1,1,SysAdmin / DevOps,Full-Time,12000,747,Neto,10,No,0,Windows,,,,,"Si, pasiva",500,Porcentaje de mi sueldo,3,3,No,Performance grupal,No,0,No,No cambie de empresa,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Comidas pagas/subvencionadas, WFH (Trabajar desde casa)"
Hombre,37 - 40,Santa Fe,10+,3,SysAdmin / DevOps,Part-Time,12000,747,Neto,10,Si,3,Linux,,,,,"Si, pasiva",0,Porcentaje de mi sueldo,3,2,No,No recibo bono,Uno,40,No,No cambie de empresa,Vacaciones flexibles (adicionales a las reglamentarias)
Hombre,41 - 45,Ciudad Autonoma de Buenos Aires,10+,2,Analista,Full-Time,12000,747,Neto,1001,No,0,"Windows, Pcnet",,,,,No,0,Neto,2,2,De uno a tres sueldos,Performance de la compania,Uno,6,No,Yff,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Snacks, golosinas, bebidas"
Hombre,27 - 30,Corrientes,5,4,DBA,Full-Time,12000,747,Neto,1001,No,0,Windows,,,,,No,0,Neto,2,1,Menos de un sueldo,Bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
Hombre,24 - 26,Ciudad Autonoma de Buenos Aires,1,1,Developer,Full-Time,12000,747,Neto,1001,No,0,"Windows, Z/os mainframe ",,,,,No,0,Porcentaje de mi sueldo,1,1,Menos de un sueldo,Performance individual,Dos,25,No,No cambie de empresa,"Abono de celular y/o Internet, Aumento por inflacion, Bonos por desempeno, Capacitaciones y/o cursos, Comidas pagas/subvencionadas, Descuentos en gimnasios, Snacks, golosinas, bebidas"
Hombre,24 - 26,GBA,1,Menos de un ano,Developer,Part-Time,12000,747,Neto,1001,No,0,"Linux, Windows",,,,,No,0,Porcentaje de mi sueldo,2,2,No,No recibo bono,Uno,27,No,No cambie de empresa,Ninguna de las anteriores
Hombre,34 - 36,Santiago del Estero,10+,9,Electronica,Full-Time,12000,747,Neto,1001,No,0,"Linux, Windows",,,,,"Si, activa",0,Neto,1,1,No,No recibo bono,Dos,15,No,No cambie de empresa,Ninguna de las anteriores
Hombre,37 - 40,Tucuman,10+,10+,empleado,Full-Time,12000,747,Neto,1001,No,0,Windows,,,,,No,0,Bruto,1,2,No,No recibo bono,Uno,30,No,No cambie de empresa,Ninguna de las anteriores
Hombre,24 - 26,Ciudad Autonoma de Buenos Aires,4,3,HelpDesk,Full-Time,12000,747,Neto,1001,No,0,"AIX, HP-UX, Linux, Windows",,,,,No,0,Neto,3,3,No,No recibo bono,No,0,No,No cambie de empresa,"Abono de celular y/o Internet, Ninguna de las anteriores"
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,7,4,HelpDesk,Full-Time,12000,747,Neto,1001,No,0,Windows,,,,,No,0,Neto,3,2,No,No recibo bono,Dos,17,No,No cambie de empresa,"Snacks, golosinas, bebidas"
Hombre,24 - 26,Provincia de Buenos Aires,4,Menos de un ano,HelpDesk,Full-Time,12000,747,Neto,1001,Si,7,"Linux, Windows, VMWare",,,,,No,0,Porcentaje de mi sueldo,2,3,Menos de un sueldo,No recibo bono,No,0,No,No cambie de empresa,"Cuota para universidad, Horarios flexibles"
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,5,1,Infraestructura,Full-Time,12000,747,Neto,1001,No,0,Windows,,,,,No,0,Bruto,2,2,No,No recibo bono,Uno,23,No,No cambie de empresa,"Descuentos en gimnasios, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,31 - 33,Ciudad Autonoma de Buenos Aires,8,5,Networking,Full-Time,12000,747,Neto,1001,Si,2,"Windows, VMWare",,,,,"Si, pasiva",0,Porcentaje de mi sueldo,2,3,No,No recibo bono,Uno,23,No,No cambie de empresa,"Vacaciones flexibles (adicionales a las reglamentarias), Viajes al exterior"
Hombre,34 - 36,Chaco,4,3,QA / Tester,Part-Time,12000,747,Neto,1001,Si,1,"Linux, Windows",,,,,No,0,Neto,2,3,No,No recibo bono,Dos,27,No,No cambie de empresa,"Aumento por inflacion, Capacitaciones y/o cursos, Viaticos"
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,3,3,QA / Tester,Full-Time,12000,747,Neto,1001,No,0,"Windows, Macintosh",,,,,No,0,Porcentaje de mi sueldo,2,2,No,No recibo bono,No,0,No,No cambie de empresa,"Clases de idiomas, Descuentos en gimnasios, Descuentos varios (Clarin 365, Club La Nacion, programas de beneficios, etc), Horarios flexibles, Laptop, Masajes, Playroom, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)"
Hombre,21 - 23,Ciudad Autonoma de Buenos Aires,Menos de un ano,Menos de un ano,QA / Tester,Full-Time,12000,747,Neto,1001,No,0,"VMWare, SQL Server",,,,,No,0,Bruto,4,4,No,No recibo bono,No,0,No,No cambie de empresa,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Comidas pagas/subvencionadas, WFH (Trabajar desde casa)"
Hombre,37 - 40,Cordoba,10+,5,Storage / Backup,Full-Time,12000,747,Neto,1001,No,0,"AIX, Linux, Windows, VMWare",,,,,"Si, pasiva",0,Neto,1,1,Menos de un sueldo,Solo que todos lo tengan por compensacion salarial,Uno,20,No,No cambie de empresa,"Aumento por inflacion, Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,3,3,SysAdmin / DevOps,Part-Time,12000,747,Neto,1001,No,0,Windows,,,,,No,0,Bruto,2,1,No,No recibo bono,Uno,30,No,No cambie de empresa,"Aumento por inflacion, Capacitaciones y/o cursos, Clases de idiomas, Ninguna de las anteriores"
Hombre,24 - 26,Santiago del Estero,5,5,SysAdmin / DevOps,Full-Time,12000,747,Neto,1000,Si,30,Windows,,,,,No,0,Porcentaje de mi sueldo,2,2,No,No recibo bono,No,0,No,No cambie de empresa,"Capacitaciones y/o cursos, Comidas pagas/subvencionadas"
Hombre,27 - 30,Provincia de Buenos Aires,2,2,Developer,Full-Time,12000,747,Neto,500,No,0,Windows,,,,,No,0,Porcentaje de mi sueldo,2,2,No,No recibo bono,Uno,15,No,No cambie de empresa,"Bonos por desempeno, Horarios flexibles, Laptop, Viaticos"
Hombre,27 - 30,Provincia de Buenos Aires,3,2,Developer,Full-Time,12000,747,Neto,500,No,0,"Linux, Windows, Docker / Containers, VMWare",,,,,No,0,Porcentaje de mi sueldo,1,2,No,No recibo bono,No,0,No,No cambie de empresa,"Capacitaciones y/o cursos, Clases de idiomas, Descuentos en gimnasios, Descuentos varios (Clarin 365, Club La Nacion, programas de beneficios, etc), Guarderia, Horarios flexibles, Masajes, Playroom, Viajes al exterior, WFH (Trabajar desde casa)"
Hombre,24 - 26,Provincia de Buenos Aires,4,3,HelpDesk,Part-Time,12000,747,Neto,500,No,0,"Linux, Windows",,,,,No,0,Porcentaje de mi sueldo,3,2,No,No recibo bono,Dos,35,No,No cambie de empresa,Viaticos
Hombre,24 - 26,Santa Fe,4,Menos de un ano,HelpDesk,Tercerizado (trabajo a traves de consultora o agencia),12000,747,Neto,500,No,0,"Windows, Azure, VMWare",,,,,"Si, pasiva",500,Bruto,1,2,No,No recibo bono,No,0,Si,Desafios profesionales,"Comidas pagas/subvencionadas, Descuentos en gimnasios, Snacks, golosinas, bebidas, Viaticos"
Hombre,24 - 26,Santa Fe,2,2,Networking,Full-Time,12000,747,Neto,500,No,0,"*BSD, HP-UX, Linux, Windows, VMWare",,,,,"Si, pasiva",0,Bruto,1,1,Un sueldo,Performance de la compania,Uno,20,No,No cambie de empresa,"Abono de celular y/o Internet, Bonos por desempeno, Capacitaciones y/o cursos"
Hombre,27 - 30,Provincia de Buenos Aires,3,1,QA / Tester,Full-Time,12000,747,Neto,500,No,0,"Windows, Amazon Web Services, VMWare",,,,,No,0,Porcentaje de mi sueldo,1,1,No,No recibo bono,Uno,23,No,No cambie de empresa,"Capacitaciones y/o cursos, Clases de idiomas, Descuentos en gimnasios, Horarios flexibles, Playroom, Snacks, golosinas, bebidas, Viajes al exterior, WFH (Trabajar desde casa)"
Hombre,18 - 20,Ciudad Autonoma de Buenos Aires,Menos de un ano,Menos de un ano,HelpDesk,Full-Time,12000,747,Neto,200,No,0,"Linux, Windows, VMWare",,,,,No,0,Porcentaje de mi sueldo,3,3,No,No recibo bono,Dos,8,No,No cambie de empresa,"Comidas pagas/subvencionadas, Horarios flexibles, Snacks, golosinas, bebidas"
Hombre,31 - 33,GBA,5,4,HelpDesk,Full-Time,12000,747,Neto,200,No,0,"Windows, VMWare",,,,,No,0,Neto,1,1,No,No recibo bono,Dos,10,No,Salario,"Descuentos varios (Clarin 365, Club La Nacion, programas de beneficios, etc)"
Hombre,21 - 23,Ciudad Autonoma de Buenos Aires,Menos de un ano,Menos de un ano,Storage / Backup,Full-Time,12000,747,Neto,200,No,0,Windows,,,,,No,0,Porcentaje de mi sueldo,2,2,Menos de un sueldo,Performance grupal,No,0,No,No cambie de empresa,Ninguna de las anteriores
Hombre,27 - 30,Santa Fe,4,4,SysAdmin / DevOps,Part-Time,12000,747,Neto,200,No,0,"Linux, Windows",,,,,No,0,Bruto,3,3,Menos de un sueldo,No recibo bono,Uno,30,No,No cambie de empresa,Abono de celular y/o Internet
Hombre,27 - 30,Santa Fe,8,6,SysAdmin / DevOps,Part-Time,12000,747,Neto,200,Si,3,"Linux, Windows",,,,,"Si, pasiva",0,Bruto,2,2,No,No recibo bono,Dos,44,No,No cambie de empresa,"Abono de celular y/o Internet, Horarios flexibles, Viaticos"
Hombre,37 - 40,Santa Fe,10+,1,DBA,Part-Time,12000,747,Neto,50,Si,10,*BSD,,,,,No,0,Neto,3,2,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
Hombre,46 - 49,Cordoba,10+,2,Designer,Part-Time,12000,747,Neto,50,No,0,Windows,,,,,"Si, pasiva",400,Bruto,1,1,No,No recibo bono,No,0,No,No cambie de empresa,"Horarios flexibles, Sueldo divido en dos pagos por mes, WFH (Trabajar desde casa)"
Hombre,31 - 33,Ciudad Autonoma de Buenos Aires,8,4,Developer,Part-Time,12000,747,Neto,50,No,0,"Linux, Windows, VMWare",,,,,No,0,Porcentaje de mi sueldo,2,2,No,No recibo bono,Dos,30,No,No cambie de empresa,"Aumento por inflacion, Snacks, golosinas, bebidas"
Hombre,31 - 33,Ciudad Autonoma de Buenos Aires,1,1,Developer,Full-Time,12000,747,Neto,50,No,0,GENEXUS,,,,,No,0,Porcentaje de mi sueldo,1,3,No,No recibo bono,Dos,15,No,No cambie de empresa,"Aumento por inflacion, Comidas pagas/subvencionadas, Laptop"
Hombre,21 - 23,Ciudad Autonoma de Buenos Aires,Menos de un ano,Menos de un ano,Developer,Part-Time,12000,747,Neto,50,No,0,"Linux, Windows",,,,,No,0,Porcentaje de mi sueldo,1,2,No,No recibo bono,No,0,No,No cambie de empresa,Clases de idiomas
Hombre,21 - 23,Ciudad Autonoma de Buenos Aires,1,1,Developer,Full-Time,12000,747,Neto,50,No,0,"Linux, Docker / Containers",,,,,No,0,Porcentaje de mi sueldo,3,3,No,No recibo bono,No,0,No,No cambie de empresa,"Horarios flexibles, Laptop, Playroom, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)"
Hombre,31 - 33,Ciudad Autonoma de Buenos Aires,7,1,HelpDesk,Full-Time,12000,747,Neto,50,No,0,"Linux, Windows, VMWare",,,,,No,0,Neto,1,1,No,No recibo bono,Uno,15,No,No cambie de empresa,Ninguna de las anteriores
Hombre,27 - 30,Mendoza,8,5,HelpDesk,Part-Time,12000,747,Neto,50,No,0,"*BSD, Linux, Windows, SQL",,,,,"Si, activa",0,Porcentaje de mi sueldo,2,2,No,No recibo bono,Uno,12,No,No cambie de empresa,"Aumento por inflacion, Playroom, Snacks, golosinas, bebidas"
Hombre,21 - 23,Provincia de Buenos Aires,3,2,HelpDesk,Full-Time,12000,747,Neto,50,No,0,Windows,,,,,No,0,Neto,3,2,No,No recibo bono,Dos,12,No,No cambie de empresa,Ninguna de las anteriores
Hombre,27 - 30,Mendoza,2,1,Networking,Full-Time,12000,747,Neto,50,No,0,"HP-UX, Linux, Windows, VMWare",,,,,No,0,Porcentaje de mi sueldo,2,1,No,No recibo bono,Uno,13,No,No cambie de empresa,"Capacitaciones y/o cursos, Clases de idiomas, Viaticos"
Hombre,31 - 33,Santa Fe,10+,2,SysAdmin / DevOps,Full-Time,12000,747,Neto,50,No,0,"Linux, Windows, Docker / Containers, VMWare",,,,,No,0,Porcentaje de mi sueldo,1,2,No,No recibo bono,Uno,30,No,No cambie de empresa,Ninguna de las anteriores
Hombre,31 - 33,Jujuy,6,6,Tecnico Linux,Full-Time,12000,747,Neto,50,No,0,"Linux, Windows",,,,,No,0,Bruto,3,3,Menos de un sueldo,Performance de la compania,No,0,No,No cambie de empresa,Vacaciones flexibles (adicionales a las reglamentarias)
Mujer,21 - 23,Ciudad Autonoma de Buenos Aires,Menos de un ano,Menos de un ano,Developer,Full-Time,12000,747,Bruto,100,No,0,Windows,,,,,No,0,Porcentaje de mi sueldo,3,3,No,No recibo bono,Uno,10,No,No cambie de empresa,"Clases de idiomas, Horarios flexibles, WFH (Trabajar desde casa)"
Mujer,24 - 26,Mendoza,3,2,Developer,Full-Time,12000,747,Bruto,50,No,0,"Linux, Windows, .NET",,,,,No,0,Porcentaje de mi sueldo,3,1,No,No recibo bono,Uno,10,No,No cambie de empresa,"Descuentos en gimnasios, Vacaciones flexibles (adicionales a las reglamentarias)"
Mujer,24 - 26,Ciudad Autonoma de Buenos Aires,1,1,HelpDesk,Full-Time,12000,747,Neto,100,No,0,"Windows, VMWare",,,,,No,0,Porcentaje de mi sueldo,1,2,No,No recibo bono,No,0,No,No cambie de empresa,Vacaciones flexibles (adicionales a las reglamentarias)
Mujer,24 - 26,Ciudad Autonoma de Buenos Aires,Menos de un ano,Menos de un ano,Developer,Full-Time,12000,747,Neto,10,No,0,"Linux, Amazon Web Services, OpenStack, VMWare",,,,,No,0,Porcentaje de mi sueldo,1,1,No,No recibo bono,No,0,No,No cambie de empresa,"Aumento por inflacion, Horarios flexibles"
Mujer,31 - 33,Mendoza,8,6,HelpDesk,Part-Time,12000,747,Neto,10,No,0,"Linux, Windows, VMWare",,,,,No,0,Neto,2,1,No,No recibo bono,Dos,13,No,No cambie de empresa,"Aumento por inflacion, Capacitaciones y/o cursos, Clases de idiomas, Viaticos"
Mujer,24 - 26,GBA,4,3,QA / Tester,Full-Time,12000,747,Neto,10,No,0,"Windows, VMWare",,,,,No,0,Bruto,2,2,No,No recibo bono,Uno,30,No,No cambie de empresa,Ninguna de las anteriores
Mujer,34 - 36,Cordoba,10+,7,Developer,Full-Time,12000,747,Neto,1001,No,0,Windows,,,,,No,0,Porcentaje de mi sueldo,2,1,Menos de un sueldo,Performance de la compania,Dos,10,No,No cambie de empresa,"Descuentos varios (Clarin 365, Club La Nacion, programas de beneficios, etc), Laptop, WFH (Trabajar desde casa)"
Mujer,50+,Rio Negro,10+,10+,SysAdmin / DevOps,Part-Time,12000,747,Neto,1000,No,0,Windows,,,,,"Si, activa",15000,Bruto,2,4,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
Mujer,18 - 20,Provincia de Buenos Aires,Menos de un ano,Menos de un ano,Atencion al cliente,Full-Time,12000,747,Neto,50,No,0,Windows,,,,,No,0,Porcentaje de mi sueldo,2,1,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
Mujer,24 - 26,Cordoba,4,Menos de un ano,Developer,Freelance,12000,747,Neto,50,No,0,HTML CSS PHP JS,,,,,No,0,Porcentaje de mi sueldo,1,1,No,No recibo bono,No,0,No,No cambie de empresa,"Horarios flexibles, WFH (Trabajar desde casa)"
Mujer,24 - 26,Ciudad Autonoma de Buenos Aires,Menos de un ano,Menos de un ano,email marketing,Full-Time,12000,747,Neto,50,No,0,"Windows, javascript php dreamweaver photoshop html css bootstrap",,,,,No,0,Bruto,2,2,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
Hombre,24 - 26,Cordoba,4,3,HelpDesk,Part-Time,12100,753,Bruto,200,No,0,Windows,,,,,No,0,Porcentaje de mi sueldo,3,2,No,No recibo bono,Dos,27,No,No cambie de empresa,Capacitaciones y/o cursos
Hombre,18 - 20,Ciudad Autonoma de Buenos Aires,2,2,Soporte tecnico,Full-Time,12100,753,Neto,10,No,0,"Linux, Windows, VMWare",,,,,"Si, pasiva",500,Neto,4,4,No,No recibo bono,Uno,25,No,No cambie de empresa,"Aumento por inflacion, Horarios flexibles"
Hombre,24 - 26,Ciudad Autonoma de Buenos Aires,2,2,Developer,Full-Time,12100,753,Neto,1001,No,0,"Linux, OpenStack, JAVA, PostgreSQL, HTML",,,,,No,0,Bruto,2,2,No,No recibo bono,Uno,15,No,No cambie de empresa,Horarios flexibles
Hombre,21 - 23,Santa Fe,4,4,HelpDesk,Full-Time,12100,753,Neto,1001,Si,6,Windows,,,,,No,0,Porcentaje de mi sueldo,2,3,No,No recibo bono,Dos,39,No,No cambie de empresa,Ninguna de las anteriores
Hombre,24 - 26,Ciudad Autonoma de Buenos Aires,5,1,Monitoreo,Full-Time,12100,753,Neto,1001,No,0,"HP-UX, Linux, Solaris, Windows, Nagios",,,,,No,0,Neto,3,2,No,No recibo bono,Dos,30,No,No cambie de empresa,"Clases de idiomas, Descuentos en gimnasios"
Hombre,21 - 23,Provincia de Buenos Aires,5,3,Operador de monitoreo,Full-Time,12100,753,Neto,50,No,0,"Windows, VMWare",,,,,"Si, activa",0,Porcentaje de mi sueldo,2,1,No,No recibo bono,Uno,10,No,No cambie de empresa,Ninguna de las anteriores
Hombre,27 - 30,GBA,4,Menos de un ano,Developer,Part-Time,12150,756,Neto,50,No,0,"Linux, Windows",,,,,No,0,Neto,2,2,No,No recibo bono,No,0,Si,Salario,"Capacitaciones y/o cursos, Horarios flexibles, WFH (Trabajar desde casa)"
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,2,1,ERP Consultant,Full-Time,12300,765,Neto,1001,No,0,Windows,,,,,No,0,Porcentaje de mi sueldo,1,1,No,No recibo bono,Uno,15,No,No cambie de empresa,"Aumento por inflacion, Descuentos en gimnasios, Descuentos varios (Clarin 365, Club La Nacion, programas de beneficios, etc), Laptop"
Hombre,34 - 36,Corrientes,10+,3,HelpDesk,Full-Time,12300,765,Neto,1001,No,0,"Windows, Azure",,,,,"Si, activa",0,Porcentaje de mi sueldo,2,3,No,No recibo bono,Uno,27,No,No cambie de empresa,Ninguna de las anteriores
Hombre,24 - 26,Ciudad Autonoma de Buenos Aires,2,2,Operador IT,Tercerizado (trabajo a traves de consultora o agencia),12300,765,Neto,1001,No,0,"HP-UX, Linux, Windows",,,,,No,0,Neto,1,1,No,No recibo bono,Uno,5,No,No cambie de empresa,"Abono de celular y/o Internet, Snacks, golosinas, bebidas"
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,1,1,QA / Tester,Tercerizado (trabajo a traves de consultora o agencia),12300,765,Neto,1000,No,0,"Linux, Windows, teradata",,,,,No,0,Neto,2,2,No,Performance individual,Mas de dos,30,No,No cambie de empresa,"Aumento por inflacion, Bonos por desempeno, Capacitaciones y/o cursos, Clases de idiomas, WFH (Trabajar desde casa)"
Hombre,27 - 30,Cordoba,3,3,SysAdmin / DevOps,Full-Time,12300,765,Neto,1000,No,0,"Linux, Windows, VMWare",,,,,"Si, pasiva",0,Bruto,3,3,Menos de un sueldo,Mix de las anteriores,Mas de dos,27,No,No cambie de empresa,"Bonos por desempeno, Capacitaciones y/o cursos, Horarios flexibles, Viaticos"
Hombre,31 - 33,Ciudad Autonoma de Buenos Aires,5,5,HelpDesk,Full-Time,12400,772,Bruto,1000,No,0,"Windows, VMWare",,,,,"Si, pasiva",0,Bruto,2,2,No,No recibo bono,Dos,15,No,No cambie de empresa,"Aumento por inflacion, Comidas pagas/subvencionadas"
Hombre,31 - 33,Ciudad Autonoma de Buenos Aires,9,Menos de un ano,Networking,Full-Time,12400,772,Neto,10,No,0,"Linux, Windows, VMWare",,,,,No,0,Bruto,2,2,No,No recibo bono,Dos,24,No,No cambie de empresa,Ninguna de las anteriores
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,3,1,QA / Tester,Tercerizado (trabajo a traves de consultora o agencia),12409,772,Neto,1001,No,0,Windows,,,,,No,0,Porcentaje de mi sueldo,1,2,No,No recibo bono,Uno,10,No,No cambie de empresa,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Descuentos en gimnasios, Descuentos varios (Clarin 365, Club La Nacion, programas de beneficios, etc), Horarios flexibles, Masajes, Playroom, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,24 - 26,Ciudad Autonoma de Buenos Aires,1,1,DBA,Full-Time,12500,778,Bruto,1001,No,0,"Windows, SAP, neo4j, gis",,,,,No,0,Bruto,2,1,No,No recibo bono,Uno,6,No,No cambie de empresa,"Aumento por inflacion, Capacitaciones y/o cursos, Clases de idiomas, Descuentos en gimnasios, Guarderia, Horarios flexibles, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)"
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,Menos de un ano,Menos de un ano,Developer,Full-Time,12500,778,Bruto,200,No,0,Windows,,,,,No,0,Neto,2,3,No,No recibo bono,Dos,25,No,No cambie de empresa,"Aumento por inflacion, Capacitaciones y/o cursos, Snacks, golosinas, bebidas"
Hombre,24 - 26,GBA,Menos de un ano,4,Developer,Full-Time,12500,778,Bruto,50,No,0,Windows,,,,,No,0,Bruto,4,4,No,No recibo bono,Dos,15,No,No cambie de empresa,"Capacitaciones y/o cursos, Horarios flexibles"
Hombre,21 - 23,Ciudad Autonoma de Buenos Aires,3,1,Developer,Full-Time,12500,778,Neto,100,Si,2,mitrolsrl,,,,,No,0,Bruto,1,1,No,No recibo bono,Uno,12,No,No cambie de empresa,Ninguna de las anteriores
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,6,2,HelpDesk,Full-Time,12500,778,Neto,100,No,0,Windows,,,,,No,0,Neto,1,1,No,No recibo bono,No,0,No,Salario,"Descuentos varios (Clarin 365, Club La Nacion, programas de beneficios, etc), Snacks, golosinas, bebidas"
Hombre,34 - 36,Santa Fe,10+,Menos de un ano,Developer,Part-Time,12500,778,Neto,10,No,0,Linux,,,,,No,0,Porcentaje de mi sueldo,2,1,Menos de un sueldo,Mix de las anteriores,No,0,Si,Mayor comodidad,Horarios flexibles
Hombre,21 - 23,Cordoba,2,1,HelpDesk,Full-Time,12500,778,Neto,10,Si,1,Windows,,,,,"Si, pasiva",0,Neto,3,1,De uno a tres sueldos,Performance individual,Uno,30,No,No cambie de empresa,"Abono de celular y/o Internet, Bonos por desempeno, Capacitaciones y/o cursos, Horarios flexibles, Laptop, Viaticos"
Hombre,31 - 33,GBA,10+,10+,HelpDesk,Full-Time,12500,778,Neto,10,No,0,Windows,,,,,No,0,Neto,2,2,No,No recibo bono,Mas de dos,37,No,No cambie de empresa,"Abono de celular y/o Internet, Comidas pagas/subvencionadas, Snacks, golosinas, bebidas"
Hombre,24 - 26,Provincia de Buenos Aires,8,8,Developer,Full-Time,12500,778,Neto,1001,Si,4,"Linux, Windows",,,,,No,0,Porcentaje de mi sueldo,2,1,No,No recibo bono,No,0,No,No cambie de empresa,"Capacitaciones y/o cursos, Ninguna de las anteriores"
