Me identifico,Tengo,Argentina,Anos de experiencia,Anos en el puesto actual,Trabajo de,Tipo de contrato,Salario mensual (en tu moneda local),USD,Bruto o neto,Max Cantidad de empleados,Gente a cargo,Cuanta,Tecnologias que utilizas,Tecnologias que utilizas,Automation o funcional,Tecnologias que utilizas,Tecnologias que utilizas,Tenes guardias,Cuanto cobras por guardia (en tu moneda local),"Porcentaje, bruto o neto",Que tan conforme estas con tu sueldo,Como crees que esta tu sueldo con respecto a Julio 2016,Recibis algun tipo de bono,A que esta atado el bono,Tuviste ajustes por inflacion en 2016,De que % fue el ajuste,Cambiaste de empresa en los ultimos 6 meses,Cual fue el principal motivo de cambio,Beneficios extra
Hombre,37 - 40,Ciudad Autonoma de Buenos Aires,10+,3,SysAdmin / DevOps,Full-Time,2700,168,Neto,500,Si,1,"Windows, VMWare",,,,,"Si, pasiva",2500,Neto,2,3,No,No recibo bono,Uno,35,No,No cambie de empresa,"Abono de celular y/o Internet, Ninguna de las anteriores"
Hombre,24 - 26,Provincia de Buenos Aires,6,2,Networking,Freelance,2800,174,Neto,10,No,0,"Linux, Windows",,,,,No,0,Neto,2,2,No,No recibo bono,Uno,10,No,No cambie de empresa,"Abono de celular y/o Internet, WFH (Trabajar desde casa)"
Hombre,21 - 23,Chaco,1,1,Tecnico informatico,Part-Time,3000,186,Bruto,1001,No,0,Windows,,,,,No,0,Porcentaje de mi sueldo,1,1,No,No recibo bono,No,0,No,No cambie de empresa,Capacitaciones y/o cursos
Hombre,18 - 20,Ciudad Autonoma de Buenos Aires,Menos de un ano,Menos de un ano,Developer,Freelance,3000,186,Neto,10,No,0,Windows,,,,,No,0,Porcentaje de mi sueldo,3,3,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
Hombre,18 - 20,GBA,3,3,Reparacion de pc,Freelance,3000,186,Neto,10,No,0,"Linux, Windows",,,,,No,0,Neto,2,2,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
Hombre,21 - 23,Formosa,2,2,Reparador de pc,Part-Time,3000,186,Neto,10,No,0,Windows,,,,,No,0,Neto,2,4,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
Hombre,24 - 26,La Rioja,2,2,SysAdmin / DevOps,Part-Time,3000,186,Neto,500,No,0,Linux,,,,,No,0,Neto,1,1,No,No recibo bono,No,0,No,No cambie de empresa,"Capacitaciones y/o cursos, Vacaciones flexibles (adicionales a las reglamentarias)"
Mujer,21 - 23,Chaco,2,1,Networking,Part-Time,3000,186,Neto,10,No,0,Windows,,,,,No,0,Bruto,2,2,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
Hombre,21 - 23,Ciudad Autonoma de Buenos Aires,2,Menos de un ano,reparacion de pc en mi casa,Full-Time,3100,193,Neto,10,Si,0,"Linux, Windows, VMWare",,,,,"Si, activa",50,Porcentaje de mi sueldo,1,1,No,No recibo bono,Mas de dos,75,No,Mayor comodidad,WFH (Trabajar desde casa)
Hombre,18 - 20,Provincia de Buenos Aires,10+,9,Designer,Full-Time,3100,193,Neto,1000,Si,12,"*BSD, Linux, Windows, Amazon Web Services, OpenStack, VMWare",,,,,No,0,Porcentaje de mi sueldo,1,1,No,No recibo bono,Mas de dos,80,No,No cambie de empresa,Ninguna de las anteriores
Hombre,24 - 26,Tucuman,1,1,data entry,Part-Time,3250,202,Bruto,100,No,0,Windows,,,,,No,0,Bruto,1,1,No,No recibo bono,Uno,28,No,No cambie de empresa,Ninguna de las anteriores
Hombre,24 - 26,La Rioja,2,2,QA / Tester,Tercerizado (trabajo a traves de consultora o agencia),3350,208,Neto,1001,No,0,Windows,,,,,No,0,Porcentaje de mi sueldo,2,1,No,No recibo bono,No,0,No,No cambie de empresa,Cuota para universidad
Hombre,Menos de 18 anos,Santa Fe,2,1,Developer,Part-Time,3500,217,Bruto,10,Si,3,"Linux, Windows, Amazon Web Services",,,,,No,0,Bruto,3,2,De uno a tres sueldos,Fin de ano,No,0,No,No cambie de empresa,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Cuota para universidad, Laptop, Playroom, Snacks, golosinas, bebidas, Viaticos"
Mujer,24 - 26,Ciudad Autonoma de Buenos Aires,5,Menos de un ano,SysAdmin / DevOps,Part-Time,3500,217,Neto,1001,No,0,Windows,,,,,No,0,Neto,3,2,No,No recibo bono,No,0,Si,Mejores beneficios,"Comidas pagas/subvencionadas, Horarios flexibles"
Mujer,24 - 26,Tucuman,3,2,SysAdmin / DevOps,Part-Time,3600,224,Neto,10,No,0,"Windows, World ",,,,,No,0,Neto,1,1,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
Hombre,21 - 23,Tucuman,Menos de un ano,Menos de un ano,Infosec,Full-Time,4000,249,Bruto,10,No,0,Windows,,,,,No,0,Bruto,1,1,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
