Me identifico,Tengo,Argentina,Anos de experiencia,Anos en el puesto actual,Gente a cargo,Cuanta,Trabajo de,Tipo de contrato,Salario mensual (en tu moneda local),USD,Bruto o neto,Max Cantidad de empleados,Tecnologias que utilizas,Tecnologias que utilizas,Tecnologias que utilizas,Automation o funcional,Tecnologias que utilizas,Tecnologias que utilizas,Tenes guardias,Cuanto cobras por guardia (en tu moneda local),"Porcentaje, bruto o neto",Que tan conforme estas con tu sueldo,Como crees que esta tu sueldo con respecto a Enero 2017,Recibis algun tipo de bono,A que esta atado el bono,Tuviste ajustes por inflacion en 2017,De que % fue el ajuste,Cambiaste de empresa en los ultimos 6 meses,Cual fue el principal motivo de cambio,Beneficios extra
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,Menos de un ano,Menos de un ano,No,0,Analista,Full-Time,15000,892,Neto,1001,,,,,,,,,,2,3,Un sueldo,Performance individual,Dos,25,No,No cambie de empresa,"Abono de celular y/o Internet, Aumento por inflacion, Comidas pagas/subvencionadas, Descuentos en gimnasios"
Mujer,27 - 30,Ciudad Autonoma de Buenos Aires,5,4,Si,2,Analista,Full-Time,24000,1427,Neto,200,,,,,,,,,,2,3,No,No recibo bono,Uno,40,No,No cambie de empresa,Vacaciones flexibles (adicionales a las reglamentarias)
Mujer,27 - 30,Cordoba,5,3,Si,4,Analista,Freelance,20000,1189,Neto,100,,,,,,,,,,2,2,No,No recibo bono,Uno,15,No,No cambie de empresa,"Horarios flexibles, WFH (Trabajar desde casa)"
Mujer,27 - 30,Salta,3,2,No,0,Analista,Full-Time,20000,1189,Neto,100,,,,,,,,,,2,2,De uno a tres sueldos,Performance individual,Uno,21,No,No cambie de empresa,Ninguna de las anteriores
Mujer,27 - 30,Santa Fe,8,8,No,0,Analista,Part-Time,10000,594,Bruto,10,,,,,,,,,,2,2,No,No recibo bono,No,0,No,No cambie de empresa,Capacitaciones y/o cursos
Hombre,24 - 26,Provincia de Buenos Aires,2,1,No,0,analista,Full-Time,38000,2260,Bruto,1001,,,,,,,,,,3,3,Menos de un sueldo,Mix de las anteriores,Uno,18,No,No cambie de empresa,"Abono de celular y/o Internet, Aumento por inflacion, Bonos por desempeno, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Descuentos en gimnasios, Horarios flexibles, Laptop"
Hombre,24 - 26,Ciudad Autonoma de Buenos Aires,4,Menos de un ano,No,0,Analista,Full-Time,32000,1903,Neto,1001,,,,,,,,,,3,2,De uno a tres sueldos,Mix de las anteriores,Uno,20,No,No cambie de empresa,"Descuentos varios (Clarin 365, Club La Nacion, programas de beneficios, etc)"
Hombre,24 - 26,Ciudad Autonoma de Buenos Aires,3,2,No,0,Analista,Full-Time,30500,1814,Bruto,1001,,,,,,,,,,2,2,Un sueldo,Performance individual,Uno,5,No,No cambie de empresa,Ninguna de las anteriores
Mujer,24 - 26,Ciudad Autonoma de Buenos Aires,1,1,No,0,Analista / Disenadora,Full-Time,25200,1499,Bruto,100,,,,,,,,,,4,4,No,No recibo bono,Dos,21,No,No cambie de empresa,"Abono de celular y/o Internet, Aumento por inflacion, Capacitaciones y/o cursos, Descuentos en gimnasios, Descuentos varios (Clarin 365, Club La Nacion, programas de beneficios, etc), Horarios flexibles, WFH (Trabajar desde casa)"
Hombre,50+,GBA,10+,10+,No,0,Analista BI,Full-Time,46500,2766,Neto,1001,,,,,,,,,,4,3,Menos de un sueldo,Performance individual,No,0,No,No cambie de empresa,"Aumento por inflacion, Comidas pagas/subvencionadas"
